scientificName,spp_name_corrected,Article_simple,study_id,Study_location,Study_lat,Study_long,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality,evidence_type,exclude_species,Mass_g_final,Order_final,source,class
Pentalagus furnessi,Pentalagus furnessi,"Shionosaki, K., Yamada, F., Ishikawa, T. and Shibata, S., 2015. Feral cat diet and predation on endangered endemic mammals on a biodiversity hot spot (Amami–Ohshima Island, Japan). Wildlife Research, 42(4), pp.343-352.",193,Amami–Ohshima Island,28.267800000000001,129.3621,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2396.3,Lagomorpha,Phylacine 1.2,Mammals
Pentalagus furnessi,Pentalagus furnessi,"Sugimura, K., Sato, S., Yamada, F., Abe, S., Hirakawa, H. and Handa, Y., 2000. Distribution and abundance of the Amami rabbit Pentalagus furnessi in the Amami and Tokuno Islands, Japan. Oryx, 34(3), pp.198-206.",194,Amami–Ohshima Island,28.267800000000001,129.3621,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2396.3,Lagomorpha,Phylacine 1.2,Mammals
Pentalagus furnessi,Pentalagus furnessi,"Sugimura, K., Sato, S., Yamada, F., Abe, S., Hirakawa, H. and Handa, Y., 2000. Distribution and abundance of the Amami rabbit Pentalagus furnessi in the Amami and Tokuno Islands, Japan. Oryx, 34(3), pp.198-206.",195,Amami–Ohshima Island,28.267800000000001,129.3621,Population,Abundance,Spatial,1,no,no,Population in support,included_species,2396.3,Lagomorpha,Phylacine 1.2,Mammals
Perameles bougainville,Perameles bougainville,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",122,Australia,-25.2744,133.77510000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,226,Peramelemorphia,Phylacine 1.2,Mammals
Perameles bougainville,Perameles bougainville,"Richards, J.D. and Short, J., 2003. Reintroduction and establishment of the western barred bandicoot Perameles bougainville (Marsupialia: Peramelidae) at Shark Bay, Western Australia. Biological Conservation, 109(2), pp.181-195.",123,"Shark Bay, Western Australia",-25.44,113.32,Predation,Predation,Reintroduced,0,no,no,Predation not in support,included_species,226,Peramelemorphia,Phylacine 1.2,Mammals
Perameles bougainville,Perameles bougainville,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",124,"Nullarbor, southwest Australia, Rawlinna and northwest SA, Western Division of NSW",-31.058900000000001,130.48779999999999,Population,Abundance,Timing,1,yes,no,Population in support,included_species,226,Peramelemorphia,Phylacine 1.2,Mammals
Perameles eremiana,Perameles eremiana,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",125,Canning Stock Route,-26.5943,120.2274,Population,Abundance,Timing,1,yes,no,Population in support,included_species,200,Peramelemorphia,Phylacine 1.2,Mammals
Peromyscus guardia,Peromyscus guardia,"Vázquez-Domínguez, E., Ceballos, G. and Cruzado, J., 2004. Extirpation of an insular subspecies by a single introduced cat: the case of the endemic deer mouse Peromyscus guardia on Estanque Island, Mexico. Oryx, 38(3), pp.347-350.",165,"Estanque Island, Mexico",29.065899999999999,-113.0891,Predation,Predation,Predation,1,no,no,Predation in support,included_species,33.7,Rodentia,Phylacine 1.2,Mammals
Peromyscus pseudocrinitus,Peromyscus pseudocrinitus,"Rodríguez-Moreno A, Arnaud G, Tershy BR (2007) Impacto de la eradicación del gato (Felis catus), en dos roedores endémicos de la Isla Coronados, Golfo de California, México. Acta Zoológica Mexicana, 23, 1-13.",429,"Isla Coronados, Gulf of California",26.1191,-111.2756,Predation,Predation,Predation,1,no,no,Predation in support,included_species,24.5,Rodentia,Phylacine 1.2,Mammals
Peromyscus pseudocrinitus,Peromyscus pseudocrinitus,"Rodríguez-Moreno A, Arnaud G, Tershy BR (2007) Impacto de la eradicación del gato (Felis catus), en dos roedores endémicos de la Isla Coronados, Golfo de California, México. Acta Zoológica Mexicana, 23, 1-13.",430,"Isla Coronados, Gulf of California",26.1191,-111.2756,Population,Abundance,Temporal,0,yes,no,Population not in support,included_species,24.5,Rodentia,Phylacine 1.2,Mammals
Petrogale lateralis,Petrogale lateralis,"Paltridge, R., Gibson, D. and Edwards, G., 1997. Diet of the feral cat (Felis catus) in central Australia. Wildlife Research, 24(1), pp.67-76.",79,Wartarrka National Park,-24.29,131.57,Predation,Predation,Predation,1,no,no,Predation in support,included_species,4625,Diprotodontia,Phylacine 1.2,Mammals
Petrogale lateralis,Petrogale lateralis,"Pearson, D.J., 1992. Past and present distribution and abundance of the black-footed wallaby in the Warburton region of Western Australia. Wildlife Research, 19(6), pp.605-621.",82,Warburton,-26.135000000000002,126.5792,Predation,Predation,Preference,0,no,no,Predation not in support,included_species,4625,Diprotodontia,Phylacine 1.2,Mammals
Petrogale lateralis,Petrogale lateralis,"Read, J.L., Dagg, E. and Moseby, K.E., 2018. Prey selectivity by feral cats at central Australian rock-wallaby colonies. Australian Mammalogy, 41(1), pp.132-141.",80,"Tomkinson Ranges, South Australia",-26.18,129.08000000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,4625,Diprotodontia,Phylacine 1.2,Mammals
Petrogale lateralis,Petrogale lateralis,"Read, J.L., Dagg, E. and Moseby, K.E., 2018. Prey selectivity by feral cats at central Australian rock-wallaby colonies. Australian Mammalogy, 41(1), pp.132-141.",81,"Tomkinson Ranges, South Australia",-26.18,129.08000000000001,Predation,Predation,Preference,0,no,no,Predation not in support,included_species,4625,Diprotodontia,Phylacine 1.2,Mammals
Petrogale penicillata,Petrogale penicillata,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",83,Yarraman,-26.841200000000001,151.9813,Predation,Predation,Predation,1,no,no,Predation in support,included_species,7100,Diprotodontia,Phylacine 1.2,Mammals
Petroica multicolor,Petroica multicolor,"Garnett S.T., Szabo J.K., Dutson G. 2011. The Action Plan for Australian Birds 2010. CSIRO Publishing, Collingwood.",361,Norfolk Island,-29.040800000000001,167.9547,Predation,Predation,Predation,1,no,no,Predation in support,included_species,11.36,Passeriformes,Avonet,Birds
Pezophaps solitaria,Pezophaps solitaria,"Hume, J. 2017. Extinct Birds. Bloomsbury Publishing",410,"Rodrigues, Mauritius",-19.724499999999999,63.427199999999999,Population,Abundance,Timing,1,yes,no,Population in support,included_species,,Columbiformes,,Birds
Pezoporus occidentalis,Pezoporus occidentalis,"Garnett S.T., Szabo J.K., Dutson G. 2011. The Action Plan for Australian Birds 2010. CSIRO Publishing, Collingwood.",352,Innamincka and Alice Springs,-23.698,133.88069999999999,Population,Abundance,Timing,1,no,no,Population in support,included_species,130,Psittaciformes,Avonet,Birds
Pezoporus occidentalis,Pezoporus occidentalis,"Garnett S.T., Szabo J.K., Dutson G. 2011. The Action Plan for Australian Birds 2010. CSIRO Publishing, Collingwood.",353,Alice Springs,-23.698,133.88069999999999,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,130,Psittaciformes,Avonet,Birds
Pezoporus occidentalis,Pezoporus occidentalis,"Kearney, S.G., Kern, P.L., Murphy, S.A., Janetzki, H. and Kutt, A.S., 2021. The diet of dingoes, feral cats and eastern barn owl on Pullen Pullen Reserve, southwest Queensland. Australian Mammalogy, 44(1), pp.176-181.",354,Pullen Pullen Reserve,-23.5,141.5,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,130,Psittaciformes,Avonet,Birds
Phascogale calura,Phascogale calura,"Cowan, M., Drew, M., Macmahon, B. and Gibson, L.A., 2024. Balancing act: evaluating non-target risks of feral cat management in conservation reserves. Wildlife Research, 51(11).",22,"Tutanning Nature Reserve, Boyagin Nature Reserve",-32.47,116.87,Control program,Abundance,Spatiotemporal,0,no,no,Population not in support,included_species,51.5,Dasyuromorphia,Phylacine 1.2,Mammals
Phascogale calura,Phascogale calura,"Short, J. and Hide, A., 2011. Distribution and status of the red-tailed phascogale (Phascogale calura). Australian Mammalogy, 34(1), pp.88-99.",21,Boyagin Nature Reserve,-32.47,116.87,Predation,Predation,Predation,1,no,no,Predation in support,included_species,51.5,Dasyuromorphia,Phylacine 1.2,Mammals
