scientificName,spp_name_corrected,Article_simple,study_id,Study_location,Study_lat,Study_long,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality,evidence_type,exclude_species,Mass_g_final,Order_final,source,class
Amazona barbadensis,Amazona barbadensis,"A. Rodríguez-Ferraro, V. Sanz, Natural history and population status of the yellow-shouldered parrot on La Blanquilla Island, Venezuela. The Wilson Journal of Ornithology. 119, 602–609 (2007).",351,"La Blanquilla Island, Venezuela",11.8452,-64.6096,Predation,Predation,Predation,1,no,no,Predation in support,included_species,270,Psittaciformes,Avonet,Birds
Amblyrhynchus cristatus,Amblyrhynchus cristatus,"Laurie A (1983) Marine iguanas in Galápagos. Oryx, 17, 19-25.",439,Galápagos National Park,-0.61439999999999995,-90.345100000000002,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Ameiva provitaae,Ameiva provitaae,IUCN,208,"Bolsón Arido de Lagunillas, Cordillera de Mérida",8.6667000000000005,-71,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Amytornis dorotheae,Amytornis dorotheae,"Threatened Species Scientific Committee. 2016. Conservation Advice for Amytornis dorotheae Carpentarian grasswren. Department of the Environment, Canberra.",364,Mount Isa,-20.726400000000002,139.49299999999999,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,23.22,Passeriformes,Avonet,Birds
Anairetes fernandezianus,Anairetes fernandezianus,"Hahn, I., Römer, U. 2002. Threatened avifauna of the Juan Fernández archipelago, Chile: the impact of introduced mammals and conservation priorities. Cotinga 17: 66-72.",495,Robinson Crusoe,-33.641399999999997,-78.846100000000007,Predation,Predation,Predation,1,no,no,Predation in support,included_species,6.85,Passeriformes,Avonet,Birds
Anas chlorotis,Anas chlorotis,"Barker D, Williams M 2002. Breeding of brown teal (Anas chlorotis) at Okiwi, Great Barrier Island. Notornis 49: 199–208.",469,Great Barrier Island,-36.2027,175.4118,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,499.09,Anseriformes,Avonet,Birds
Anas chlorotis,Anas chlorotis,"Hayes FN, Williams M 1982. The status, aviculture and re-establishment of brown teal in New Zealand. Wildfowl 33: 73–80.",468,Stewart Island,-47.010300000000001,167.8272,Population,Abundance,Timing,1,no,no,Population in support,included_species,499.09,Anseriformes,Avonet,Birds
Anas chlorotis,Anas chlorotis,"M. Alley, B. D. Gartrell, K. J. Morgan, Predation and other causes of death in pateke (brown teal), Anas chlorotis, necropsied during 2000 - 2005. Kokako. 14, 19–24 (2007).",467,New Zealand,-40.900599999999997,174.886,Predation,Predation,Predation,1,no,no,Predation in support,included_species,499.09,Anseriformes,Avonet,Birds
Anas wyvilliana,Anas wyvilliana,"Malachowski, C.P., Dugger, B.D., Uyehara, K.J. and Reynolds, M.H., 2022. Avian botulism is a primary, year-round threat to adult survival in the endangered Hawaiian Duck on Kaua ‘i, Hawai ‘i, USA. Ornithological Applications, 124(2), p.duac007.",483,Kaua‘i,22.096399999999999,-159.52610000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,843.42,Anseriformes,Avonet,Birds
Antechinus bellus,Antechinus bellus,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",35,"Northern Northern Territory and Melville, Bathurst and Groote Eylandt Islands",-12.46,130.84,Population,Abundance,Spatial,1,yes,no,Population in support,included_species,44.5,Dasyuromorphia,Phylacine 1.2,Mammals
Antillotyphlops monastus,Antillotyphlops monastus,IUCN,234,Montserrat,16.7425,-62.187399999999997,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Apteryx australis,Apteryx australis,"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.",373,Trounson Kauri Park,-35.7199752,173.64937610000001,Population,Reproduction,Temporal,1,yes,no,Population in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.",374,Trounson Kauri Park,-35.7199752,173.64937610000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Harper, G.A. 2005. Numerical and functional response of feral cats (Felis catus) to variations in abundance of primary prey on Stewart Island (Rakiura), New Zealand. Wildlife Research 32: 597–604.",372,Stewart Island,-47.010300000000001,167.8272,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Karl, B.J. and Best, H.A., 1982. Feral cats on Stewart Island: their foods, and their effects on kakapo. New Zealand Journal of Zoology, 9(2), pp.287-293.",371,Stewart Island,-47.010300000000001,167.8272,Predation,Predation,Predation,0,no,no,Predation not in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"McLennan, J.A., Dew, L., Miles, J., Gillingham, N. and Waiwai, R., 2004. Size matters: predation risk and juvenile growth in North Island brown kiwi (Apteryx mantelli). New Zealand Journal of Ecology, pp.241-250.",369,Te Urewera National Park,-38.542900000000003,177.0309,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"McLennan, J.A., Potter, M.A., Robertson, H.A., Wake, G.C., Colbourne, R., Dew, L., Joyce, L., McCann, A.J., Miles, J., Miller, P.J. and Reid, J., 1996. Role of predation in the decline of kiwi, Apteryx spp., in New Zealand. New Zealand Journal of Ecology, pp.27-35.",368,"Hawke's Bay, New Zealand",-39.601700000000001,176.5804,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx australis,Apteryx australis,"Robertson, H.A. and Colbourne, R.M., 2022. Habitat loss drives population decline and reduced mass of Rakiura tokoeka (Apteryx australis australis, Stewart Island brown kiwi,) at Mason Bay, Stewart Island/Rakiura. Notornis, 69(3), pp.147-157.",370,Stewart Island,-47.010300000000001,167.8272,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx mantelli,Apteryx mantelli,"McLennan, J.A., Dew, L., Miles, J., Gillingham, N. and Waiwai, R., 2004. Size matters: predation risk and juvenile growth in North Island brown kiwi (Apteryx mantelli). New Zealand Journal of Ecology, pp.241-250.",244,"Lake Waikaremoana, Te Urewera National Park",-38.774500000000003,177.11240000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Apteryx mantelli,Apteryx mantelli,"Robertson, H.A., Colbourne, R.M., Graham, P.J., Miller, P.J. and Pierce, R.J., 2011. Experimental management of brown kiwi Apteryx mantelli in central Northland, New Zealand. Bird Conservation International, 21(2), pp.207-220.",243,Northland,-35.413600000000002,173.93209999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2320.51,Struthioniformes,Avonet,Birds
Atelopus guanujo,Atelopus guanujo,IUCN,218,"Bolívar, Ecuador",-1.7096,-79.045000000000002,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Anura,,Amphibians
Bettongia anhydra,Bettongia anhydra,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",211,"McEwin Hills, Northern Territory",-22.0167,129.75,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1582.3,Diprotodontia,Phylacine 1.2,Mammals
Bettongia gaimardi,Bettongia gaimardi,"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",93,"Lower Cotter Catchment,  Australian Capital Territory",-35.28,148.9,Predation,Predation,Reintroduced,0,no,no,Predation not in support,included_species,1660,Diprotodontia,Phylacine 1.2,Mammals
Bettongia gaimardi,Bettongia gaimardi,"Fancourt, B.A., 2014. Rapid decline in detections of the Tasmanian bettong (Bettongia gaimardi) following local incursion of feral cats (Felis catus). Australian Mammalogy, 36(2), pp.247-253.",94,"Judbury, Tasmania",-43.01,146.54,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1660,Diprotodontia,Phylacine 1.2,Mammals
Bettongia gaimardi,Bettongia gaimardi,"Gardiner, R., Bain, G., Hamer, R., Jones, M.E. and Johnson, C.N., 2018. Habitat amount and quality, not patch size, determine persistence of a woodland-dependent mammal in an agricultural landscape. Landscape Ecology, 33, pp.1837-1849.",95,"Midlands bioregion, Tasmania",-41.439100000000003,147.13579999999999,Population,Abundance,Spatial,0,yes,yes,Population not in support,included_species,1660,Diprotodontia,Phylacine 1.2,Mammals
Bettongia gaimardi,Bettongia gaimardi,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",96,Victoria and NSW,-36.9848,143.39060000000001,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1660,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Christensen, P. and Burrows, N., 1995. Project desert dreaming: experimental reintroduction of mammals to the Gibson Desert, Western Australia. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.199-207.",97,Gibson Desert Nature Reserve,-24.96,125.56,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Moseby K, Peacock D, Read J. 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation 191:331-340.",98,"Andamooka Station, South Australia",-30.4497,137.164﻿,Predation,Predation,Reintroduced,0,no,no,Predation not in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2018. Designer prey: can controlled predation accelerate selection for anti-predator traits in naïve populations?. Biological Conservation, 217, pp.213-221.",99,"Andamooka Station, South Australia",-30.4497,137.164﻿,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",100,"Andamooka Station, South Australia",-30.4497,137.164﻿,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",101,"Andamooka Station, South Australia",-30.4497,137.164﻿,Population,Abundance,Temporal,1,yes,no,Population in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Moyses, J., Hradsky, B., Tuft, K., Moseby, K., Golding, N. and Wintle, B., 2020. Factors influencing the residency of bettongs using one‐way gates to exit a fenced reserve. Austral Ecology, 45(7), pp.858-871.",102,"Roxby Downs, South Australia",-30.29,136.53,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Short, J. and Turner, B., 2000. Reintroduction of the burrowing bettong Bettongia lesueur (Marsupialia: Potoroidae) to mainland Australia. Biological Conservation, 96(2), pp.185-196.",103,"Shark Bay, Western Australia",-26.11,113.37,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia lesueur,Bettongia lesueur,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",104,"Victoria, NSW, southwest WA, Nullarbor, Murray-Darling, Charleville",-36.9848,143.39060000000001,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1500,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"James, H., Acharya, A.B., Taylor, J.A. and Freak, M.J., 2002. A case of bitten bettongs. The Journal of Forensic Odonto-Stomatology-JFOS, 20(1), pp.10-12.",106,"Lincoln National Park, South Australia",-34.869999999999997,135.88,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",107,Tutanning Nature Reserve,-32.549999999999997,117.33,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",108,Dryandra,-32.78,116.97,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",109,Highbury block,-33.164000000000001,117.08,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",110,Quinn's block,-33.162999999999997,117.05,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Martin, S., Ball, S. and Peeters, P., 2006. Reintroduction of the brush-tailed Bettong (Bettongia penicillata ogilbyi) into Lincoln National Park.Program review from September 1999 to July 2004. Department for Environment and Heritage, Government of South Australia.",111,"Lincoln National Park, South Australia",-34.869999999999997,135.88,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Moseby, K.E., Peacock, D.E. and Read, J.L., 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation, 191, pp.331-340.",112,"Venus Bay, South Australia",-33.234000000000002,134.67189999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Priddel, D. and Wheeler, R., 2004. An experimental translocation of brush-tailed bettongs (Bettongia penicillata) to western New South Wales. Wildlife Research, 31(4), pp.421-432.",113,"Yathong Nature Reserve, New South Wales",-32.369999999999997,145.34,Predation,Predation,Reintroduced,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",105,"Victoria, NSW, southwest WA, Nullarbor, Murray-Darling, Charleville",-36.9848,143.39060000000001,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Wayne, A., Maxwell, M., Nicholls, P., Pacioni, C., Reiss, A., Smith, A., Thompson, A., Vellios, C., Ward, C., Wayne, J., Wilson, I. and Williams, M. 2011. The Woylie Conservation Research Project: investigating the cause(s) of woylie declines in the Upper Warren region Progress Report December 2011. Department of Environment and Conservation, Perth.",114,"Upper Warren, Western Australia",-34.369999999999997,116.28,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",115,"Upper Warren, Western Australia",-34.369999999999997,116.28,Population,Abundance,Temporal,0,yes,no,Population not in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia penicillata,Bettongia penicillata,"Wheeler, R. and Priddel, D., 2009. The impact of introduced predators on two threatened prey species: A case study from western New South Wales. Ecological Management & Restoration, 10, pp.S117-S123.",116,"Yathong Nature Reserve, New South Wales",-32.369999999999997,145.34,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1300,Diprotodontia,Phylacine 1.2,Mammals
Bettongia tropica,Bettongia tropica,"Pocknee, C.A. 2022. Fire, cats, and the northern bettong (PhD thesis). School of Biological Sciences, University of Queensland.",225,The Lamb Range and Mount Spurgeon,-16.979900000000001,145.67599999999999,Population,Abundance,Spatial,0,yes,yes,Population not in support,included_species,1200,Diprotodontia,Phylacine 1.2,Mammals
Bettongia tropica,Bettongia tropica,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",224,"Goodooga, NSW",-29.114999999999998,147.4511,Population,Abundance,Timing,1,yes,no,Population in support,included_species,1200,Diprotodontia,Phylacine 1.2,Mammals
Botaurus poiciloptilus,Botaurus poiciloptilus,"O’Donnell, C.F., Clapperton, B.K. and Monks, J.M., 2015. Impacts of introduced mammalian predators on indigenous birds of freshwater wetlands in New Zealand. New Zealand Journal of Ecology, 39(1), pp.19-33.",362,"Mossburn, Southland",-45.6678,168.2337,Predation,Predation,Predation,1,no,no,Predation in support,included_species,1083.69,Pelecaniformes,Avonet,Birds
Brachylophus vitiensis,Brachylophus vitiensis,IUCN,3,Qalito,-17.7332,177.13419999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Brachylophus vitiensis,Brachylophus vitiensis,IUCN,4,Malolo,-17.749400000000001,177.1694,Population,Abundance,Timing,1,no,no,Population in support,included_species,,Squamata,,Reptiles
Branta sandvicensis,Branta sandvicensis,"E. H. Rave, A. Cooper, D. Hu, R. Swift, K. Misajon, Population and reproductive trends of Nene Branta sandvicensis in Hawaii Volcanoes National Park, 1989-1999. Wildfowl. 55, 7–16 (2005).",472,"Volcanoes National Park, Hawaii",19.496400000000001,-155.46619999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2044.12,Anseriformes,Avonet,Birds
Branta sandvicensis,Branta sandvicensis,"Hoshide, H.M., Price, J. & Katahira, L. 1990. A progress report on Nene Branta sandvicensis in Hawaii Volcanoes National Park from 1974-89. Wildfowl 41:152-155.",470,"Volcanoes National Park, Hawaii",19.496400000000001,-155.46619999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2044.12,Anseriformes,Avonet,Birds
Branta sandvicensis,Branta sandvicensis,"U S Fish and Wildlife Service, “Draft revised recovery plan for the Nene or Hawaiian Goose (Branta sandvicensis)” (US Fish and Wildlife Service, Portland, 2004).",471,Kauai,22.096399999999999,-159.52610000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,2044.12,Anseriformes,Avonet,Birds
Burramys parvus,Burramys parvus,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",15,Australia,-25.2744,133.77510000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,41.5,Diprotodontia,Phylacine 1.2,Mammals
Caledoniscincus aquilonius,Caledoniscincus aquilonius,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",255,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Caledoniscincus auratus,Caledoniscincus auratus,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",254,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Caledoniscincus orestes,Caledoniscincus orestes,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",251,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Calonectris leucomelas,Calonectris leucomelas,"Azumi, S., Watari, Y., Oka, N. and Miyashita, T., 2021. Seasonal and spatial shifts in feral cat predation on native seabirds vs. non-native rats on Mikura Island, Japan. Mammal Research, 66(1), pp.75-82.",313,Mikura Island,33.875100000000003,139.6044,Predation,Predation,Predation,1,no,no,Predation in support,included_species,579.99,Procellariiformes,Avonet,Birds
Calonectris leucomelas,Calonectris leucomelas,"Nagata, J., Haga, A., Kusachi, Y., Tokuyoshi, M., Endo, H. and Watari, Y., 2022. Cats were responsible for the headless carcasses of shearwaters: Evidence from genetic predator identification. Mammal Study, 47(3), pp.197-204.",314,Mikura Island,33.875100000000003,139.6044,Predation,Predation,Predation,1,no,no,Predation in support,included_species,579.99,Procellariiformes,Avonet,Birds
Calonectris leucomelas,Calonectris leucomelas,"OKA N., SUGINOME H., JIDA N., MARUYAMA N. 2002. Chick growth and fl dging performance of streaked shearwaters Calonectris leucomelas on Mikura Island for two breeding seasons. J Yamashina Inst Ornithol 34:39–59.",315,Mikura Island,33.875100000000003,139.6044,Predation,Predation,Predation,1,no,no,Predation in support,included_species,579.99,Procellariiformes,Avonet,Birds
Calonectris leucomelas,Calonectris leucomelas,"SHIOZAKI, T., SHIRAI, M., OSUGI, M., YAMAMOTO, M., YODA, K. 2014. Predation by feral cat on streaked shearwater chicks on Awashima. Jpn J Ornithol 63:75–78.",316,Awashima Island,38.463799999999999,139.23820000000001,Predation,Predation,Predation,1,no,no,Predation in support,included_species,579.99,Procellariiformes,Avonet,Birds
Caloprymnus campestris,Caloprymnus campestris,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",117,Ooroowilanie and Koonchera Dune,-28.270600000000002,138.6524,Population,Abundance,Timing,1,yes,no,Population in support,included_species,900,Diprotodontia,Phylacine 1.2,Mammals
Celatiscincus similis,Celatiscincus similis,"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",253,New Caladonia,-20.904299999999999,165.61799999999999,Predation,Predation,Predation,1,no,no,Predation in support,included_species,,Squamata,,Reptiles
Chaeropus ecaudatus,Chaeropus ecaudatus,"Wallach A.D., Lundgren E.J. (2025) Review of evidence that foxes and cats cause extinctions of Australia’s endemic mammals. BioScience. DOI: 10.1093/biosci/biaf046",121,"Alice Springs, Western Division of NSW, Youndegin, Murray-Darling, south-west Australia",-23.698,133.88069999999999,Population,Abundance,Timing,1,yes,no,Population in support,included_species,200,Peramelemorphia,Phylacine 1.2,Mammals
Chalinolobus neocaledonicus,Chalinolobus neocaledonicus,IUCN,148,"Grande Terre, New Caledonia",-49.394799999999996,69.354500000000002,Predation,Predation,Predation,1,no,no,Predation in support,included_species,11.9,Chiroptera,Phylacine 1.2,Mammals
Chalinolobus tuberculatus,Chalinolobus tuberculatus,"Borkin, K.M., Easton, L. and Bridgman, L., 2023. Bats attacked by companion and feral cats: evidence from indigenous forest and rural landscapes in New Zealand. New Zealand Journal of Zoology, 50(3), pp.425-432.",149,"Ōtorohanga, Waikato, New Zealand",-38.188800000000001,175.2099,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,8.5,Chiroptera,Phylacine 1.2,Mammals
Chalinolobus tuberculatus,Chalinolobus tuberculatus,"Daniel, M.J. and Williams, G.R., 1981. Long-tailed bats (Chalinolobus tuberculatus) hibernating in farm buildings near Geraldine, South Canterbury. New Zealand Journal of Zoology, 8(3), pp.425-430.",151,"Hazelburn, New Zealand",-44.194600000000001,170.98259999999999,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,8.5,Chiroptera,Phylacine 1.2,Mammals
Chalinolobus tuberculatus,Chalinolobus tuberculatus,"Daniel, M.J. and Williams, G.R., 1984. A survey of the distribution, seasonal activity and roost sites of New Zealand bats. New Zealand Journal of Ecology, pp.9-25.",150,"Géraldine, New Zealand",-44.092300000000002,171.24469999999999,Predation,Predation,Domestic cat,1,no,no,Predation in support,included_species,8.5,Chiroptera,Phylacine 1.2,Mammals
Chalinolobus tuberculatus,Chalinolobus tuberculatus,Dwyer PD 1962. Studies on the two New Zealand bats. Zoology Publications from Victoria University of Wellington 28: 128,152,New Zealand,-40.900599999999997,174.886,Predation,Predation,Predation,1,no,no,Predation in support,included_species,8.5,Chiroptera,Phylacine 1.2,Mammals
Charadrius bicinctus,Charadrius bicinctus,"Gunby, ERG, Kross, SM and Briskie, JV (2025) Factors affecting shorebird hatching outcomes at the Ashley River/ Rakahuri-Saltwater Creek estuary, New Zealand. Notornis 72 (3) , pp.151-159",454,"Ashley River estuary, New Zealand",-43.2667,172.7167,Predation,Predation,Predation,1,no,no,Predation in support,included_species,59.4,Charadriiformes,Avonet,Birds
