"original"
"A. Buckner pers. comm. 2015"
"A. Burbidge pers. comm."
"A. Castellanos, R. Rodriguez-Estrella, Current status of the Socorro mockingbird. Wilson Bulletin. 105, 167–171 (1993)."
"A. Engilis Jr, T. K. Pratt, Status and population trends of Hawaii's native waterbirds, 1977-1987. Wilson Bulletin. 105, 143–158 (1993)."
"A. Gouni in litt. 2012"
"A. H. Whitaker, R. A. Sadlier, A. M. Bauer, V. A. Whitaker, “Biodiversity and conservation status of lizards in dry forest remnants in Province Sud, New Caledonia. Unpublished report by Whitaker Consultants Limited to Direction des Ressources Naturelles, Province Sud, Nouméa” (Whitaker Consultants Limited, Orinoco, 2005)."
"A. Kroner in litt. 2019"
"A. Llerena pers. comm. 2018"
"A. M. Bauer, T. Jackman, R. A. Sadlier, A. H. A. H. Whitaker, A new genus and species of diplodactylid gecko (Reptilia: Squamata: Diplodactylidae) from northwestern New Caledonia. Pacific Science. 60, 125–136 (2006)."
"A. M. Bauer, T. Jackman, R. A. Sadlier, A. H. Whitaker, A revision of the Bavayia validiclavis group (Squamata: Gekkota: Diplodactylidae), a clade of New Caledonian geckos exhibiting microendemism. PROCEEDINGS-CALIFORNIA ACADEMY OF SCIENCES. 57, 503 (2006)."
"A. M. MECKSTROTH, A. K. Miles, S. CHANDRA, Diets of introduced predators using stable isotopes and stomach contents. Journal of Wildlife Management. 71, 2387–2392 (2007)."
"A. Rodríguez-Ferraro, V. Sanz, Natural history and population status of the yellow-shouldered parrot on La Blanquilla Island, Venezuela. The Wilson Journal of Ornithology. 119, 602–609 (2007)."
"A. S. Cheke, in Studies of Mascarene Island birds, A. W. Diamond, Ed. (Cambridge, 1987), pp. 5–89."
"A. Schwartz, pers. Comm"
"A. Skerrett in litt. 1999"
"A. Valido, J. C. Rando, M. Nogales, A. Martin, “Fossil” lizard found alive in the Canary Islands. Oryx. 34, 75–76 (2000)."
"A. Withers, T. Ghestemme, T. Autai, “Meet the last population of Marquesan kingfisher in French Polynesia. Unpublished report.” (Conservation Leadership Program, SOP, Waikato University, Hamilton, 2012)."
"A.A.T. Amarasinghe pers. comm. 2019"
"ACAP, “ACAP species assessment: Antipodean albatross Diomedea antipodensis.” (Agreement on the Conservation of Albatrosses and Petrels, 2009)."
"ACAP, “ACAP species assessments: Amsterdam albatross Diomedea amsterdamensis” (Agreement on the Conservation of Albatrosses and Petrels, 2010), (available at http://www.acap.aq)."
"ACAP, “ACAP species assessments: sooty albatross Phoebetria fusca” (Agreement on the Conservation of Albatrosses and Petrels, 2010), (available at http://www.acap.aq)."
"ACAP. 2009. ACAP Species Assessment: Light-mantled Albatross Phoebetria palpebrata. Available at: #http://www.acap.aq/acap-species/download-document/1185-light-mantled-albatross#."
"ACAP. 2009. ACAP Species Assessment: Southern Royal Albatross Diomedea epomophora. Available at: #http://www.acap.aq/acap-species/download-document/1204-southern-royal-albatross#."
