"","scientificName","spp_name_corrected","assessmentId","internalTaxonId","realm","systems","assessmentDate","redlistCategory","criteriaVersion","populationTrend","Synonyms_or_previous_lump","Cat_effect","EXCLUDE_cats_not_attributed","Web_of_Science_no_claim","Snowball","Wallach_AU_mammal_no_claim","Opportunistic","IUCN_references","Doherty_references0_NA","Dickman_AU_mammal","Medina_references0_NA","Woinarski_AU_mammal","Garnett2020_AU_birds","Garnett2010_AU_birds","Alberts_iguanas","Oedin_bats","Welch_bats","Hume_EX_birds","Hess","Search_conducted","Mass_g_final","exclude_species","class"
"19","Amerotyphlops tasymicris","Amerotyphlops tasymicris",115333951,194268,"Neotropical","Terrestrial","2011-01-26 00:00:00 UTC","Endangered",3.1,"Unknown","Typhlops tasymicris","Predation",NA,1,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"20","Amytornis ballarae","Amytornis ballarae",211119632,22735654,"Australasian","Terrestrial","2021-11-23 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",20.97,"included_species","Birds"
"21","Amytornis dorotheae","Amytornis dorotheae",213217656,22703786,"Australasian","Terrestrial","2022-01-24 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","1","Not attributed","","","","",NA,"2025-05-01T00:00:00Z",23.22,"included_species","Birds"
"22","Amytornis merrotsyi","Amytornis merrotsyi",211877212,22732155,"Australasian","Terrestrial","2021-12-13 00:00:00 UTC","Near Threatened",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","Not attributed","Not attributed","","","","",NA,"2025-05-01T00:00:00Z",19.64,"included_species","Birds"
"23","Anadia bogotensis","Anadia bogotensis",44578157,44578148,"Neotropical","Terrestrial","2013-10-22 00:00:00 UTC","Near Threatened",3.1,"Decreasing","Ecpleopus bogotensis","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-02-01T00:00:00Z",NA,"included_species","Reptiles"
"24","Anairetes fernandezianus","Anairetes fernandezianus",226451282,22699401,"Neotropical","Terrestrial","2023-05-17 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,2,NA,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",6.85,"included_species","Birds"
"25","Anarhynchus frontalis","Anarhynchus frontalis",131876706,22693928,"Oceanian","Freshwater (=Inland waters)|Marine","2018-08-07 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",57.64,"included_species","Birds"
"26","Anas aucklandica","Anas aucklandica",194816119,22680280,"Australasian","Freshwater (=Inland waters)","2021-01-20 00:00:00 UTC","Near Threatened",3.1,"Stable",NA,"Predation",NA,1,3,"",NA,2,2,"",1,"","","","","","","",NA,"2025-06-01T00:00:00Z",499.09,"included_species","Birds"
"27","Anas chlorotis","Anas chlorotis",182985187,22728303,"Oceanian","Terrestrial|Freshwater (=Inland waters)|Marine","2020-08-24 00:00:00 UTC","Near Threatened",3.1,"Increasing",NA,"Predation",NA,2,7,"",NA,5,4,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",499.09,"included_species","Birds"
"28","Anas eatoni","Anas eatoni",92854679,22680306,"Afrotropical|Antarctic","Freshwater (=Inland waters)|Marine","2016-10-01 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,1,1,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",944.62,"included_species","Birds"
"29","Anas wyvilliana","Anas wyvilliana",221561950,22680199,"Oceanian","Terrestrial|Freshwater (=Inland waters)|Marine","2023-07-04 00:00:00 UTC","Vulnerable",3.1,"Increasing",NA,"Predation",NA,1,5,"",NA,1,2,"",1,"","","","","","","",NA,"2025-07-01T00:00:00Z",843.42,"included_species","Birds"
"30","Anolis bicaorum","Anolis bicaorum",2760000,203080,"Neotropical","Terrestrial","2012-05-07 00:00:00 UTC","Critically Endangered",3.1,"Stable","Anolis lemurinus, Norops bicaorum","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"31","Anolis brunneus","Anolis brunneus",75171481,74994610,"Neotropical","Terrestrial","2015-07-22 00:00:00 UTC","Near Threatened",3.1,"Stable","Anolis principalis brunneus","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"32","Anolis gorgonae","Anolis gorgonae",44577366,44577361,"Neotropical","Terrestrial","2013-10-22 00:00:00 UTC","Near Threatened",3.1,"Decreasing","Dactyloa gorgonae","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-02-01T00:00:00Z",NA,"included_species","Reptiles"
"33","Anolis lividus","Anolis lividus",75171676,74995754,"Neotropical","Terrestrial","2015-07-21 00:00:00 UTC","Near Threatened",3.1,"Decreasing","Ctenonotus lividus","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"34","Anolis nelsoni","Anolis nelsoni",75171736,74995991,"Neotropical","Terrestrial","2020-01-10 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Norops nelsoni","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"35","Anolis pigmaequestris","Anolis pigmaequestris",75171771,75084777,"Neotropical","Terrestrial","2016-08-30 00:00:00 UTC","Endangered",3.1,"Unknown","Deiroptyx pigmaequestris","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"36","Antechinus bellus","Antechinus bellus",21946388,40523,"Australasian","Terrestrial","2014-03-15 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,0,NA,"1",NA,1,NA,"Cats not mentioned",NA,"0","","","","","","",NA,"2025-01-01T00:00:00Z",44.5,"included_species","Mammals"
"37","Anthornis melanocephala","Anthornis melanocephala",246163701,22728814,"Australasian","Terrestrial","2023-09-29 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"",NA,1,2,"",1,"","","","","","","0",NA,"2025-06-01T00:00:00Z",NA,"included_species","Birds"
"38","Antillotyphlops monastus","Antillotyphlops monastus",115492884,75607344,"Neotropical","Terrestrial","2015-07-23 00:00:00 UTC","Near Threatened",3.1,"Decreasing","Typhlops monastus","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"39","Antillotyphlops richardii","Antillotyphlops richardii",217812615,75607416,"Neotropical","Terrestrial","2015-07-23 00:00:00 UTC","Near Threatened",3.1,"Decreasing","Typhlops richardi, Typhlops richardii","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",NA,"included_species","Reptiles"
"40","Antrostomus noctitherus","Antrostomus noctitherus",233621957,22689809,"Neotropical","Terrestrial","2023-07-03 00:00:00 UTC","Vulnerable",3.1,"Decreasing","Caprimulgus noctitherus","Predation",NA,0,2,"",NA,2,1,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",36.1,"included_species","Birds"
"41","Aphanapteryx bonasia","Aphanapteryx bonasia",261990244,22728884,"Afrotropical","Terrestrial","2024-07-01 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"",NA,1,2,"",NA,"","","","","","","1",NA,"2025-01-01T00:00:00Z",NA,"included_species","Birds"
"42","Aphelocoma coerulescens","Aphelocoma coerulescens",179678639,22705629,"Nearctic","Terrestrial","2020-08-28 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,1,NA,"",NA,2,1,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",77.12,"included_species","Birds"
