"","scientificName","spp_name_corrected","assessmentId","internalTaxonId","realm","systems","assessmentDate","redlistCategory","criteriaVersion","populationTrend","Synonyms_or_previous_lump","Cat_effect","EXCLUDE_cats_not_attributed","Web_of_Science_no_claim","Snowball","Wallach_AU_mammal_no_claim","Opportunistic","IUCN_references","Doherty_references0_NA","Dickman_AU_mammal","Medina_references0_NA","Woinarski_AU_mammal","Garnett2020_AU_birds","Garnett2010_AU_birds","Alberts_iguanas","Oedin_bats","Welch_bats","Hume_EX_birds","Hess","Search_conducted","Mass_g_final","exclude_species","class"
"166","Corvus hawaiiensis","Corvus hawaiiensis",94048187,22706052,"Oceanian","Terrestrial","2016-10-01 00:00:00 UTC","Extinct in the Wild",3.1,"",NA,"Predation, disease",NA,2,NA,"",NA,4,2,"",2,"","","","","","","",NA,"2025-03-01T00:00:00Z",518.82,"included_species","Birds"
"167","Corvus kubaryi","Corvus kubaryi",129626293,22705959,"Oceanian","Terrestrial","2018-08-07 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,2,NA,"",NA,1,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",249.92,"included_species","Birds"
"168","Coturnix novaezelandiae","Coturnix novaezelandiae",227794604,22678955,"Oceanian","Terrestrial","2023-02-09 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"",NA,2,1,"",NA,"","","","","","","0",NA,"2025-05-01T00:00:00Z",NA,"included_species","Birds"
"169","Crithagra concolor","Crithagra concolor",176571427,22720310,"Afrotropical","Terrestrial","2020-06-04 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Amblyospiza concolor, Neospiza concolor","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",50,"included_species","Birds"
"170","Crocidura canariensis","Crocidura canariensis",221582276,5560,"Palearctic","Terrestrial","2022-08-23 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,1,NA,"",NA,3,1,"",NA,"","","","","","","",NA,"2025-07-01T00:00:00Z",7.5,"included_species","Mammals"
"171","Crocidura trichura","Crocidura trichura",22304640,136379,"Australasian","Terrestrial","2015-07-18 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"Cats not mentioned",NA,0,3,"Cats not mentioned",NA,"0","","","","","","",NA,"2025-01-01T00:00:00Z",5.3,"included_species","Mammals"
"172","Crotalus catalinensis","Crotalus catalinensis",12764544,64314,"Nearctic","Terrestrial","2007-03-01 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"173","Cryptoblepharus boutonii","Cryptoblepharus boutonii",1374500,172864,"Afrotropical","Terrestrial","2020-01-31 00:00:00 UTC","Near Threatened",3.1,"Stable","Scincus boutonii","Predation",NA,0,NA,"",NA,5,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"174","Cryptoblepharus caudatus","Cryptoblepharus caudatus",109452879,109452875,"Afrotropical","Terrestrial","2019-10-22 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Ablepharus boutoni caudatus","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"175","Cryptoblepharus egeriae","Cryptoblepharus egeriae",102327566,102327291,"Indomalayan","Terrestrial","2017-02-20 00:00:00 UTC","Extinct in the Wild",3.1,"","Ablepharus egeriae","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"176","Cryptoprocta ferox","Cryptoprocta ferox",45197189,5760,"Afrotropical","Terrestrial","2015-02-21 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Competition",NA,9,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",9500,"excluded_species","Mammals"
"177","Ctenosaura bakeri","Ctenosaura bakeri",125203850,44181,"Neotropical","Terrestrial","2018-02-04 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Enyaliosaurus bakeri","Predation",NA,1,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"178","Ctenosaura flavidorsalis","Ctenosaura flavidorsalis",2993811,44188,"Neotropical","Terrestrial","2020-03-10 00:00:00 UTC","Near Threatened",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"179","Ctenosaura melanosterna","Ctenosaura melanosterna",14857036,44189,"Neotropical","Terrestrial","2012-03-01 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"180","Ctenosaura oedirhina","Ctenosaura oedirhina",122558520,44191,"Neotropical","Terrestrial","2018-06-05 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",1,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"181","Ctenotus kurnbudj","Ctenotus kurnbudj",109463631,109463625,"Australasian","Terrestrial","2017-06-14 00:00:00 UTC","Endangered",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,4,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"182","Ctenotus serotinus","Ctenotus serotinus",109464606,109464601,"Australasian","Terrestrial","2017-06-14 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"183","Ctenotus stuarti","Ctenotus stuarti",109464684,109464681,"Australasian","Terrestrial","2017-06-14 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,4,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"184","Cubophis brooksi","Cubophis brooksi",16013070,16013066,"Neotropical","Terrestrial","2020-02-06 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Alsophis brooksi, Cubophis cantherigerus brooksi","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"185","Cyanoramphus auriceps","Cyanoramphus auriceps",213764778,22685175,"Australasian","Terrestrial","2022-05-03 00:00:00 UTC","Near Threatened",3.1,"Decreasing",NA,"Predation",NA,1,NA,"",NA,2,NA,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",45.64,"included_species","Birds"
"186","Cyanoramphus forbesi","Cyanoramphus forbesi",213712534,22724553,"Australasian","Terrestrial","2022-02-07 00:00:00 UTC","Vulnerable",3.1,"Stable",NA,"Predation",NA,0,NA,"",NA,1,1,"",1,"","","","","","","",NA,"2025-07-01T00:00:00Z",88.5,"included_species","Birds"
"187","Cyclodomorphus praealtus","Cyclodomorphus praealtus",109465226,109465196,"Australasian","Terrestrial","2017-06-13 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"188","Cyclura carinata","Cyclura carinata",3097754,6026,"Neotropical","Terrestrial","2019-12-16 00:00:00 UTC","Endangered",3.1,"Stable","Cyclura carinata bartschi, Cyclura carinata carinata","Predation",NA,0,1,"",NA,3,2,"",2,"","","","2","","","",NA,"2025-01-01T00:00:00Z",355,"included_species","Reptiles"
"189","Cyclura collei","Cyclura collei",206739532,6027,"Neotropical","Terrestrial","2021-08-25 00:00:00 UTC","Critically Endangered",3.1,"Increasing",NA,"Predation",NA,1,NA,"",NA,1,3,"",1,"","","","0","","","",NA,"2025-05-01T00:00:00Z",NA,"included_species","Reptiles"
"190","Cyclura cornuta","Cyclura cornuta",3099941,6042,"Neotropical","Terrestrial","2018-01-10 00:00:00 UTC","Endangered",3.1,"Decreasing","Cyclura cornuta cornuta, Aloponotus cornutus, Iguana cornuta, Lacerta cornuta, Metopoceros cornutus","Predation",NA,0,NA,"",NA,0,3,"",1,"","","","0","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"191","Cyclura cychlura","Cyclura cychlura",12356382,6035,"Neotropical","Terrestrial","2004-04-30 00:00:00 UTC","Vulnerable",3.1,"Decreasing","Cyclura baeolopha, Iguana cychlura","Predation",NA,0,NA,"",NA,0,2,"",1,"","","","Not attributed","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"192","Cyclura lewisi","Cyclura lewisi",2994409,44275,"Neotropical","Terrestrial","2012-06-10 00:00:00 UTC","Endangered",3.1,"Increasing","Cyclura macleayi lewisi, Cyclura nubila lewisi","Predation",NA,0,NA,"",NA,1,2,"",1,"","","","0","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"193","Cyclura onchiopsis","Cyclura onchiopsis",6955940,173001,"Neotropical","Terrestrial","2010-09-23 00:00:00 UTC","Extinct",3.1,"","Cyclura cornuta onchiopsis","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"194","Cyclura pinguis","Cyclura pinguis",3098403,6031,"Neotropical","Terrestrial","2019-11-02 00:00:00 UTC","Critically Endangered",3.1,"Increasing","Cyclura mattea, Cyclura portoricensis","Predation",NA,0,NA,"",1,2,2,"",1,"","","","0","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"195","Cyclura ricordii","Cyclura ricordii",3098833,6032,"Neotropical","Terrestrial","2018-02-13 00:00:00 UTC","Endangered",3.1,"Decreasing","Aloponotus ricordii, Cyclura ricordi, Hypsilophus ricordii, Metopoceros cornutus","Predation",NA,0,NA,"",NA,2,1,"",NA,"","","","0","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"196","Cyclura stejnegeri","Cyclura stejnegeri",2790768,29605,"Neotropical","Terrestrial","2019-12-19 00:00:00 UTC","Critically Endangered",3.1,"Increasing","Cyclura cornuta stejnegeri","Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"197","Cylindrophis isolepis","Cylindrophis isolepis",42492712,42492703,"Australasian","Terrestrial","2019-08-08 00:00:00 UTC","Critically Endangered",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-02-01T00:00:00Z",NA,"included_species","Reptiles"
"198","Cyrtodactylus khelangensis","Cyrtodactylus khelangensis",104718601,104692853,"Indomalayan","Terrestrial","2017-05-23 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"199","Cyrtodactylus sadleiri","Cyrtodactylus sadleiri",129322054,102731769,"Australasian","Terrestrial","2017-02-20 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"200","Cyrtodactylus soba","Cyrtodactylus soba",123312107,197219,"Indomalayan","Terrestrial","2019-09-17 00:00:00 UTC","Vulnerable",3.1,"Unknown","Cyrtodactylus srilankensis","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"201","Cyrtodactylus thirakhupti","Cyrtodactylus thirakhupti",104718826,104716724,"Indomalayan","Terrestrial","2017-05-23 00:00:00 UTC","Near Threatened",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"202","Cyrtodactylus yakhuna","Cyrtodactylus yakhuna",104716867,104716837,"Indomalayan","Terrestrial","2019-09-17 00:00:00 UTC","Vulnerable",3.1,"Unknown","Gymnodactylus yakhuna","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"203","Dasia haliana","Dasia haliana",1366811,172685,"Indomalayan","Terrestrial","2019-09-14 00:00:00 UTC","Vulnerable",3.1,"Unknown","Euprepes halianus","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"204","Dasycercus cristicauda","Dasycercus cristicauda",21945813,6266,"Australasian","Terrestrial","2014-03-18 00:00:00 UTC","Near Threatened",3.1,"Stable","Chaetocercus cristicauda, Dasycercus hillieri","Predation",NA,4,NA,"6",NA,1,NA,"1",1,"1","","","","","","",NA,"2025-01-01T00:00:00Z",100,"included_species","Mammals"
"205","Dasyornis brachypterus","Dasyornis brachypterus",211760838,22704507,"Australasian","Terrestrial|Freshwater (=Inland waters)","2022-01-06 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","3","1","","","","",NA,"2025-05-01T00:00:00Z",41.8,"included_species","Birds"
"206","Dasyornis longirostris","Dasyornis longirostris",208565657,22704502,"Australasian","Terrestrial","2022-01-27 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,3,"",NA,"","2","2","","","","",NA,"2025-05-01T00:00:00Z",32.7,"included_species","Birds"
"207","Dasyurus albopunctatus","Dasyurus albopunctatus",21946965,6299,"Australasian","Terrestrial","2016-06-29 00:00:00 UTC","Near Threatened",3.1,"Decreasing","Satanellus albopunctatus","Competition",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",637,"excluded_species","Mammals"
"208","Dasyurus geoffroii","Dasyurus geoffroii",21947461,6294,"Australasian","Terrestrial","2012-12-31 00:00:00 UTC","Near Threatened",3.1,"Stable",NA,"Predation",NA,18,NA,"10",NA,0,NA,"1",1,"1","","","","","","",NA,"2025-01-01T00:00:00Z",1100,"included_species","Mammals"
"209","Dasyurus hallucatus","Dasyurus hallucatus",21947321,6295,"Australasian","Terrestrial","2015-06-15 00:00:00 UTC","Endangered",3.1,"Decreasing","Satanellus hallucatus","Disease, Predation",NA,10,NA,"9",NA,0,3,"0",NA,"2","","","","","","",NA,"2025-01-01T00:00:00Z",525,"included_species","Mammals"
"210","Dasyurus maculatus","Dasyurus maculatus",21946847,6300,"Australasian","Terrestrial","2015-06-15 00:00:00 UTC","Near Threatened",3.1,"Decreasing",NA,"Competition",NA,22,NA,"2",NA,0,NA,"1",1,"1","","","","","","",NA,"2025-01-01T00:00:00Z",5500,"excluded_species","Mammals"
"211","Dasyurus spartacus","Dasyurus spartacus",21947093,6301,"Australasian","Terrestrial","2016-06-30 00:00:00 UTC","Near Threatened",3.1,"Unknown","Satanellus spartacus","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",1212.6,"included_species","Mammals"
"212","Dasyurus viverrinus","Dasyurus viverrinus",21947190,6296,"Australasian","Terrestrial","2014-03-15 00:00:00 UTC","Endangered",3.1,"Decreasing","Didelphis viverrina, Satanellus viverrinus","Competition, Predation",NA,11,NA,"5",NA,2,NA,"0",NA,"2","","","","","","",NA,"2025-01-01T00:00:00Z",1090,"included_species","Mammals"
"213","Delma impar","Delma impar",101742864,6315,"Australasian","Terrestrial","2017-06-13 00:00:00 UTC","Endangered",3.1,"Decreasing","Pseudodelma impar","Predation",NA,0,NA,"",NA,2,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"214","Dendrocygna arborea","Dendrocygna arborea",154611660,22679770,"Neotropical","Terrestrial|Freshwater (=Inland waters)|Marine","2019-07-16 00:00:00 UTC","Near Threatened",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,2,1,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",1150,"included_species","Birds"
"215","Didunculus strigirostris","Didunculus strigirostris",156841404,22691890,"Oceanian","Terrestrial","2016-10-01 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,9,"",NA,2,3,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",400,"included_species","Birds"
"216","Dierogekko inexpectatus","Dierogekko inexpectatus",123251434,176154,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,2,"",NA,1,3,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"217","Dierogekko insularis","Dierogekko insularis",123257548,176200,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"218","Dierogekko kaalaensis","Dierogekko kaalaensis",123255835,176187,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,2,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"219","Dierogekko koniambo","Dierogekko koniambo",123254414,176177,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,2,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"220","Dierogekko nehoueensis","Dierogekko nehoueensis",123251745,176158,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,1,"",NA,1,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"221","Dierogekko poumensis","Dierogekko poumensis",123254583,176178,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"222","Dierogekko thomaswhitei","Dierogekko thomaswhitei",123250842,176150,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,2,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"223","Dierogekko validiclavis","Dierogekko validiclavis",123256909,176196,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing","Bavayia validiclavis","Predation",NA,0,NA,"",NA,1,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"224","Diomedea amsterdamensis","Diomedea amsterdamensis",132397831,22698310,"Afrotropical|Antarctic","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Endangered",3.1,"Increasing",NA,"Predation",NA,0,NA,"",NA,1,2,"",2,"","","","","","","",NA,"2025-04-01T00:00:00Z",6270,"included_species","Birds"
"225","Diomedea antipodensis","Diomedea antipodensis",132656045,22728318,"Neotropical|Oceanian","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","0","0","","","","",NA,"2025-05-01T00:00:00Z",6961.29,"included_species","Birds"
"226","Diomedea dabbenena","Diomedea dabbenena",132657527,22728364,"Afrotropical|Neotropical","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Critically Endangered",3.1,"Decreasing","Diomedea chionoptera chionoptera","Predation",NA,1,NA,"",NA,0,NA,"",NA,"","Not attributed","Not attributed","","","","",NA,"2025-05-01T00:00:00Z",6961.29,"included_species","Birds"
"227","Diomedea epomophora","Diomedea epomophora",132641187,22698314,"Afrotropical|Neotropical|Oceanian","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Vulnerable",3.1,"Stable",NA,"Predation",NA,0,NA,"",NA,3,1,"",1,"","Not attributed","0","","","","",NA,"2025-05-01T00:00:00Z",8905.61,"included_species","Birds"
"228","Diomedea exulans","Diomedea exulans",132640680,22698305,"Afrotropical|Neotropical|Oceanian","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,6,NA,"",NA,1,1,"",NA,"","Not attributed","0","","","","",NA,"2025-05-01T00:00:00Z",6961.29,"included_species","Birds"
"229","Diomedea sanfordi","Diomedea sanfordi",132656392,22728323,"Afrotropical|Antarctic|Neotropical|Oceanian","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,2,"",NA,"","Not attributed","Not attributed","","","","",NA,"2025-05-01T00:00:00Z",8905.61,"included_species","Birds"
"230","Diploglossus montisserrati","Diploglossus montisserrati",115082920,6638,"Neotropical","Terrestrial","2014-07-20 00:00:00 UTC","Critically Endangered",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"231","Diplothrix legata","Diplothrix legata",22459891,6671,"Indomalayan","Terrestrial","2015-12-14 00:00:00 UTC","Endangered",3.1,"Decreasing","Diplothrix legatus","Predation",NA,1,NA,"",NA,0,3,"",NA,"","","","","","","",NA,"2025-02-01T00:00:00Z",505.9,"included_species","Mammals"
"232","Dipodomys stephensi","Dipodomys stephensi",22228640,6682,"Nearctic","Terrestrial","2016-07-11 00:00:00 UTC","Vulnerable",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",69.8,"included_species","Mammals"
"233","Diporiphora vescus","Diporiphora vescus",83491797,83491786,"Australasian","Terrestrial","2017-02-22 00:00:00 UTC","Vulnerable",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"234","Dryolimnas augusti","Dryolimnas augusti",261999490,62258591,"Afrotropical","Terrestrial|Freshwater (=Inland waters)","2024-07-01 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","0",NA,"2025-01-01T00:00:00Z",NA,"included_species","Birds"
"235","Ducula aurorae","Ducula aurorae",118663538,22691668,"Oceanian","Terrestrial","2017-10-01 00:00:00 UTC","Endangered",3.1,"Increasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",507.19,"included_species","Birds"
"236","Ducula galeata","Ducula galeata",218092219,22691674,"Oceanian","Terrestrial","2023-06-15 00:00:00 UTC","Endangered",3.1,"Increasing","Serresius galeatus","Predation",NA,0,NA,"",NA,3,1,"",1,"","","","","","","",NA,"2025-07-01T00:00:00Z",605,"included_species","Birds"
"237","Dysmorodrepanis munroi","Dysmorodrepanis munroi",244849755,22720738,"Oceanian","Terrestrial","2023-09-11 00:00:00 UTC","Extinct",3.1,"",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","1",NA,"2025-05-01T00:00:00Z",NA,"included_species","Birds"
"238","Elanus scriptus","Elanus scriptus",212864152,22695039,"Australasian","Terrestrial|Freshwater (=Inland waters)","2022-01-17 00:00:00 UTC","Near Threatened",3.1,"Stable",NA,"Competition, Predation",NA,1,NA,"",NA,3,NA,"",NA,"","2","2","","","","",NA,"2025-05-01T00:00:00Z",316,"included_species","Birds"
"239","Eleutherodactylus barlagnei","Eleutherodactylus barlagnei",3039910,56451,"Neotropical","Terrestrial|Freshwater (=Inland waters)","2020-11-10 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Amphibians"
"240","Eleutherodactylus cavernicola","Eleutherodactylus cavernicola",3137506,7143,"Neotropical","Terrestrial","2020-10-07 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Amphibians"
"241","Eleutherodactylus pinchoni","Eleutherodactylus pinchoni",3051801,56860,"Neotropical","Terrestrial","2020-11-10 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Amphibians"
"242","Eliomys quercinus","Eliomys quercinus",3139783,7618,"Palearctic","Terrestrial","2023-02-27 00:00:00 UTC","Vulnerable",3.1,"Decreasing","Mus quercinus","Predation",NA,2,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",115,"included_species","Mammals"
"243","Emberiza socotrana","Emberiza socotrana",118847061,22720940,"Afrotropical|Palearctic","Terrestrial","2017-10-01 00:00:00 UTC","Near Threatened",3.1,"Stable",NA,"Predation",NA,0,NA,"",NA,0,2,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",14.42,"included_species","Birds"
"244","Emoia adspersa","Emoia adspersa",1527142,178217,"Oceanian","Terrestrial","2011-09-12 00:00:00 UTC","Endangered",3.1,"Decreasing","Eumeces adspersus, Eumeces microlepis, Euprepes parvisquameus","Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"245","Emoia concolor","Emoia concolor",2464821,196601,"Oceanian","Terrestrial","2011-09-12 00:00:00 UTC","Near Threatened",3.1,"Unknown","Gongylus concolor","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"246","Emoia lawesi","Emoia lawesi",1537910,178528,"Oceanian","Terrestrial","2011-09-16 00:00:00 UTC","Endangered",3.1,"Unknown","Mabouia lawesii","Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"247","Emoia loyaltiensis","Emoia loyaltiensis",123257233,176198,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Vulnerable",3.1,"Decreasing","Lygosoma samoense","Predation",NA,0,NA,"",1,1,1,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
"248","Emoia samoensis","Emoia samoensis",2467000,196618,"Oceanian","Terrestrial","2011-09-14 00:00:00 UTC","Endangered",3.1,"Decreasing","Gongylus samoensis","Predation",NA,0,NA,"",NA,0,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"249","Emoia tuitarere","Emoia tuitarere",2467555,196623,"Oceanian","Terrestrial","2011-09-14 00:00:00 UTC","Vulnerable",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,1,1,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"250","Epibator greeri","Epibator greeri",123131743,176133,"Australasian","Terrestrial","2017-12-11 00:00:00 UTC","Endangered",3.1,"Decreasing","Leiolopisma greeri, Lioscincus greeri","Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-04-01T00:00:00Z",NA,"included_species","Reptiles"
