scientificName,spp_name_corrected,assessmentId,internalTaxonId,realm,systems,assessmentDate,redlistCategory,criteriaVersion,populationTrend,Synonyms_or_previous_lump,Cat_effect,EXCLUDE_cats_not_attributed,Web_of_Science_no_claim,Snowball,Wallach_AU_mammal_no_claim,Opportunistic,IUCN_references,Doherty_references0_NA,Dickman_AU_mammal,Medina_references0_NA,Woinarski_AU_mammal,Garnett2020_AU_birds,Garnett2010_AU_birds,Alberts_iguanas,Oedin_bats,Welch_bats,Hume_EX_birds,Hess,Search_conducted,Mass_g_final,exclude_species,class
Anas wyvilliana,Anas wyvilliana,221561950,22680199,Oceanian,Terrestrial|Freshwater (=Inland waters)|Marine,2023-07-04 00:00:00 UTC,Vulnerable,3.1,Increasing,NA,Predation,,1,5,,,1,2,,1,,,,,,,,,2025-07-01T00:00:00Z,843.42,included_species,Birds
Anolis bicaorum,Anolis bicaorum,2760000,203080,Neotropical,Terrestrial,2012-05-07 00:00:00 UTC,Critically Endangered,3.1,Stable,"Anolis lemurinus, Norops bicaorum",Predation,,0,,,,0,,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Anolis brunneus,Anolis brunneus,75171481,74994610,Neotropical,Terrestrial,2015-07-22 00:00:00 UTC,Near Threatened,3.1,Stable,Anolis principalis brunneus,Predation,,0,,,,1,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Anolis gorgonae,Anolis gorgonae,44577366,44577361,Neotropical,Terrestrial,2013-10-22 00:00:00 UTC,Near Threatened,3.1,Decreasing,Dactyloa gorgonae,Predation,,0,,,,0,,,,,,,,,,,,2025-02-01T00:00:00Z,,included_species,
Anolis lividus,Anolis lividus,75171676,74995754,Neotropical,Terrestrial,2015-07-21 00:00:00 UTC,Near Threatened,3.1,Decreasing,Ctenonotus lividus,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Anolis nelsoni,Anolis nelsoni,75171736,74995991,Neotropical,Terrestrial,2020-01-10 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Norops nelsoni,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Anolis pigmaequestris,Anolis pigmaequestris,75171771,75084777,Neotropical,Terrestrial,2016-08-30 00:00:00 UTC,Endangered,3.1,Unknown,Deiroptyx pigmaequestris,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,
Antechinus bellus,Antechinus bellus,21946388,40523,Australasian,Terrestrial,2014-03-15 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,0,,1,,1,,Cats not mentioned,,0,,,,,,,,2025-01-01T00:00:00Z,44.5,included_species,Mammals
Anthornis melanocephala,Anthornis melanocephala,246163701,22728814,Australasian,Terrestrial,2023-09-29 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,1,2,,1,,,,,,,0,,2025-06-01T00:00:00Z,,included_species,
Antillotyphlops monastus,Antillotyphlops monastus,115492884,75607344,Neotropical,Terrestrial,2015-07-23 00:00:00 UTC,Near Threatened,3.1,Decreasing,Typhlops monastus,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,Reptiles
Antillotyphlops richardii,Antillotyphlops richardii,217812615,75607416,Neotropical,Terrestrial,2015-07-23 00:00:00 UTC,Near Threatened,3.1,Decreasing,"Typhlops richardi, Typhlops richardii",Predation,,0,,,,0,,,,,,,,,,,,2025-07-01T00:00:00Z,,included_species,
Antrostomus noctitherus,Antrostomus noctitherus,233621957,22689809,Neotropical,Terrestrial,2023-07-03 00:00:00 UTC,Vulnerable,3.1,Decreasing,Caprimulgus noctitherus,Predation,,0,2,,,2,1,,,,,,,,,,,2025-07-01T00:00:00Z,36.1,included_species,Birds
Aphanapteryx bonasia,Aphanapteryx bonasia,261990244,22728884,Afrotropical,Terrestrial,2024-07-01 00:00:00 UTC,Extinct,3.1,,NA,Predation,,0,,,,1,2,,,,,,,,,1,,2025-01-01T00:00:00Z,,included_species,
Aphelocoma coerulescens,Aphelocoma coerulescens,179678639,22705629,Nearctic,Terrestrial,2020-08-28 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,1,,,,2,1,,,,,,,,,,,2025-07-01T00:00:00Z,77.12,included_species,Birds
Aphrastura masafuerae,Aphrastura masafuerae,235928752,22702156,Neotropical,Terrestrial|Freshwater (=Inland waters),2023-08-17 00:00:00 UTC,Critically Endangered,3.1,Stable,Aphrastura masafucrae,Predation,,2,2,,,3,2,,,,,,,,,,,2025-07-01T00:00:00Z,,included_species,
Aplonis santovestris,Aplonis santovestris,119060447,22710485,Oceanian,Terrestrial,2017-10-01 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,1,,,,,,,,,,,2025-04-01T00:00:00Z,68.66,included_species,Birds
Apteryx australis,Apteryx australis,214272214,22678122,Australasian,Terrestrial,2022-08-11 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,2,2,,,2,4,,1,,,,,,,,,2025-05-01T00:00:00Z,2320.51,included_species,Birds
Apteryx haastii,Apteryx haastii,214091794,22678132,Australasian,Terrestrial,2022-08-10 00:00:00 UTC,Vulnerable,3.1,Decreasing,NA,Predation,,1,,,,0,1,,,,,,,,,,,2025-07-01T00:00:00Z,2022.68,included_species,Birds
Apteryx mantelli,Apteryx mantelli,119177586,45353580,Oceanian,Terrestrial,2017-10-01 00:00:00 UTC,Vulnerable,3.1,Stable,NA,Predation,,9,,,,4,5,,,,,,,,,,,2025-04-01T00:00:00Z,2320.51,included_species,Birds
Ardenna creatopus,Ardenna creatopus,132633266,22698195,Nearctic|Neotropical,Terrestrial|Marine,2018-08-07 00:00:00 UTC,Vulnerable,3.1,Unknown,Puffinus creatopus,Predation,,5,,,,1,1,,,,,,,,,,,2025-05-01T00:00:00Z,743.99,included_species,Birds
Aristelliger hechti,Aristelliger hechti,115347895,203169,Neotropical,Terrestrial,2015-07-23 00:00:00 UTC,Vulnerable,3.1,Unknown,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Aspidoscelis catalinensis,Aspidoscelis catalinensis,12758948,64255,Nearctic,Terrestrial,2007-03-01 00:00:00 UTC,Vulnerable,3.1,Stable,Cnemidophorus catalinensis,Predation,,0,,,,0,1,,,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Atelopus guanujo,Atelopus guanujo,98641500,54515,Neotropical,Terrestrial|Freshwater (=Inland waters),2016-07-16 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,,,,,,,,,,,,2025-03-01T00:00:00Z,,included_species,Amphibians
Atopogale cubana,Atopogale cubana,22327125,20320,Neotropical,Terrestrial,2015-11-20 00:00:00 UTC,Endangered,3.1,Decreasing,"Atopogale cubanus, Solenodon cubanus",Predation,,0,,,,0,,,1,,,,,,,,,2025-01-01T00:00:00Z,,included_species,
Atrichornis clamosus,Atrichornis clamosus,213149507,22703612,Australasian,Terrestrial|Freshwater (=Inland waters),2022-01-21 00:00:00 UTC,Endangered,3.1,Stable,NA,Predation,,0,,,,3,2,,,,2,2,,,,,,2025-05-01T00:00:00Z,42.15,included_species,Birds
Atrichornis rufescens,Atrichornis rufescens,213120966,22703608,Australasian,Terrestrial,2022-01-21 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-07-01T00:00:00Z,24,included_species,Birds
Bavayia exsuccida,Bavayia exsuccida,123246845,29452,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Critically Endangered,3.1,Decreasing,NA,Predation,,0,,,,0,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bavayia goroensis,Bavayia goroensis,123257719,176201,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bavayia montana,Bavayia montana,123259816,176215,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,Bavayia cyclura montana,Predation,,0,,,,0,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bavayia nubila,Bavayia nubila,123469169,122893197,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Endangered,3.1,Decreasing,NA,Predation,,0,,,,1,,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
Bavayia ornata,Bavayia ornata,123259662,176214,Australasian,Terrestrial,2017-12-11 00:00:00 UTC,Critically Endangered,3.1,Decreasing,Bavayia sauvagei ornata,Predation,,0,,,,0,1,,,,,,,,,,,2025-04-01T00:00:00Z,,included_species,
