node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Bird et al. 2014)_EXCLUDE_NA_Expert opinion_NA_NA,(Bird et al. 2014),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(BirdLife International 2018)_EXCLUDE_NA_Expert opinion_NA_NA,(BirdLife International 2018),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(BirdLife International 2023)_EXCLUDE_NA_Expert opinion_NA_NA,(BirdLife International 2023),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Boersma et al. 2013)_EXCLUDE_NA_No claim_NA_NA,(Boersma et al. 2013),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Bonnaud et al. 2010a)_INCLUDE_NA_Predation in support_no_no,(Bonnaud et al. 2010a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Borkin et al. 2023)_INCLUDE_NA_Predation in support_no_no,(Borkin et al. 2023),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Bourgeois & Vidal 2008)_EXCLUDE_NA_Expert opinion_NA_NA,(Bourgeois & Vidal 2008),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Bourgoin et al. 2024)_EXCLUDE_NA_Does not test claim_NA_NA,(Bourgoin et al. 2024),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Buller & Keulemans 1905)_INCLUDE_NA_Predation in support_no_no,(Buller & Keulemans 1905),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Buller & Keulemans 1905)_INCLUDE_NA_Population in support_no_no,(Buller & Keulemans 1905),INCLUDE,"",Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes,Population in support without data
(Campolina et al. 2024)_EXCLUDE_NA_Does not test claim_NA_NA,(Campolina et al. 2024),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Campolina et al. 2024) core source_claim,(Campolina et al. 2024) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Castellanos & Rodriguez-Estrella 1993)_EXCLUDE_NA_Expert opinion_NA_NA,(Castellanos & Rodriguez-Estrella 1993),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Castro-Prieto et al. 2021)_EXCLUDE_NA_Expert opinion_NA_NA,(Castro-Prieto et al. 2021),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Cayot et al. 1994)_EXCLUDE_NA_Expert opinion_NA_NA,(Cayot et al. 1994),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Collar 2015)_EXCLUDE_NA_Expert opinion_NA_NA,(Collar 2015),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Collister 1994)_INCLUDE_NA_Population not in support_yes_no,(Collister 1994),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Conservation 2001a)_EXCLUDE_NA_Expert opinion_NA_NA,(Conservation 2001a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Copley 1999b)_INCLUDE_NA_Predation in support_no_no,(Copley 1999b),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cruz & Cruz 1987)_INCLUDE_NA_Predation in support_no_no,(Cruz & Cruz 1987),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cruz & Cruz 1996)_INCLUDE_NA_Predation in support_no_no,(Cruz & Cruz 1996),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Daniel & Williams 1984)_INCLUDE_NA_Predation in support_no_no,(Daniel & Williams 1984),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Darby 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Darby 2003),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Davies et al. 2018)_INCLUDE_NA_Population in support_yes_yes,(Davies et al. 2018),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Davies et al. 2018)_INCLUDE_NA_Population not in support_yes_yes,(Davies et al. 2018),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Deller et al. 2015)_EXCLUDE_NA_Expert opinion_NA_NA,(Deller et al. 2015),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Department of Environment Land Water and Planning 2016)_EXCLUDE_NA_Expert opinion_NA_NA,(Department of Environment Land Water and Planning 2016),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Dickman 1996b) core source_claim,(Dickman 1996b) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Dickman et al. 1993)_EXCLUDE_NA_Expert opinion_NA_NA,(Dickman et al. 1993),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Dickman et al. 2000)_INCLUDE_NA_Population not in support_yes_no,(Dickman et al. 2000),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Dilley et al. 2017)_INCLUDE_NA_Population in support_yes_no,(Dilley et al. 2017),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Dilley et al. 2017)_INCLUDE_NA_Population not in support_yes_no,(Dilley et al. 2017),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Dilley et al. 2018)_INCLUDE_NA_Population not in support_yes_no,(Dilley et al. 2018),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Dilley et al. 2018)_INCLUDE_NA_Population in support_yes_no,(Dilley et al. 2018),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Doherty et al. 2015)_EXCLUDE_NA_No claim_NA_NA,(Doherty et al. 2015),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Doherty et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Doherty et al. 2015)_INCLUDE_NA_Population in support_yes_no,(Doherty et al. 2015),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Doherty et al. 2015)_INCLUDE_NA_Predation not in support_no_no,(Doherty et al. 2015),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Dowding & Kennedy 1993)_EXCLUDE_NA_Expert opinion_NA_NA,(Dowding & Kennedy 1993),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
