cited_by_id,article_id,edge_type,scientificName,encounter_method
(Griesemer & Holmes 2011)_INCLUDE_NA_Predation in support_no_no,(Oro et al. 2004)_EXCLUDE_1_Opinion claim_NA_NA,citation,Puffinus mauretanicus,snowball
(Griesemer & Holmes 2011)_INCLUDE_NA_Predation in support_no_no,(Simons 1985)_INCLUDE_NA_Predation in support_no_no,citation,Pterodroma sandwichensis,snowball
(Griesemer & Holmes 2011)_INCLUDE_NA_Predation in support_no_no,(Telfer 1986)_EXCLUDE_0_Inaccessible_NA_NA,citation,Puffinus newelli,snowball
(Griesemer & Holmes 2011)_INCLUDE_NA_Predation in support_no_no,(Cooper et al. 2006)_EXCLUDE_0_No claim_NA_NA,citation,Procellaria westlandica,snowball
(Guo et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(BirdLife International 2023)_EXCLUDE_0_Opinion claim_NA_NA,citation,Eurostopodus nigripennis,snowball
(Guo et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,(Read 2013)_EXCLUDE_1_No claim_NA_NA,citation,Eurostopodus nigripennis,snowball
(Gustafson 2020)_EXCLUDE_0_Opinion claim_NA_NA,(Biteman et al. 2015)_EXCLUDE_0_Inaccessible_NA_NA,citation,Lanius ludovicianus,snowball
(Hahn & Römer 2002)_INCLUDE_NA_Predation in support_no_no,(Brooke 1987a)_EXCLUDE_0_Inaccessible_NA_NA,citation,Anairetes fernandezianus,snowball
(Hahn & Römer 2002)_EXCLUDE_0_No claim_NA_NA,(Brooke 1987a)_EXCLUDE_0_Inaccessible_NA_NA,citation,Anairetes fernandezianus,snowball
(Hansen 2006)_EXCLUDE_0_Opinion claim_NA_NA,(Cumming 1991)_EXCLUDE_0_Inaccessible_NA_NA,citation,Sternula nereis,snowball
(Hansen 2006)_EXCLUDE_0_Opinion claim_NA_NA,(Dowding & Murphy 2001)_EXCLUDE_1_No claim_NA_NA,citation,Sternula nereis,snowball
(Harlow & Biciloa 2001)_EXCLUDE_1_Opinion claim_NA_NA,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,citation,Cyclura carinata,snowball
(Hess 2014) core source_claim,(Nogales et al. 2004)_EXCLUDE_1_Opinion claim_NA_NA,citation,Ptychoramphus aleuticus,core_sources
(Hess 2014) core source_claim,(Nogales et al. 2004)_EXCLUDE_1_Opinion claim_NA_NA,citation,Puffinus opisthomelas,core_sources
(Hess 2014) core source_claim,(Young et al. 2013)_EXCLUDE_1_Opinion claim_NA_NA,citation,Phoebastria immutabilis,core_sources
(Hohnen et al. 2016a)_EXCLUDE_1_Opinion claim_NA_NA,(Woinarski et al. 2011b)_EXCLUDE_1_No claim_NA_NA,citation,Wyulda squamicaudata,snowball
(Hollis 2011)_EXCLUDE_0_No claim_NA_NA,(Malone 1985)_EXCLUDE_1_Inaccessible_NA_NA,citation,Philoria frosti,snowball
(Honegger 1981)_EXCLUDE_1_Opinion claim_NA_NA,"A. Schwartz, pers. Comm_EXCLUDE_0_Inaccessible_NA_NA",citation,Leiocephalus eremitus,snowball
(Hume 2017) core source_claim,(Buller & Keulemans 1905)_INCLUDE_NA_Predation in support_no_no,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Buller & Keulemans 1905)_INCLUDE_NA_Population in support_no_no,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Cheke & Hume 2008)_EXCLUDE_0_Opinion claim_NA_NA,citation,Aphanapteryx bonasia,core_sources
(Hume 2017) core source_claim,Galbreath 1989_EXCLUDE_0_Inaccessible_NA_NA,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Galbreath & Brown 2004)_INCLUDE_NA_Predation in support_no_no,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Galbreath & Brown 2004)_INCLUDE_NA_Population in support_no_no,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Gibbs et al. 2001)_EXCLUDE_0_Inaccessible_NA_NA,citation,Ptilinopus mercierii,core_sources
(Hume 2017) core source_claim,(Greenway 1967)_EXCLUDE_0_Inaccessible_NA_NA,citation,Gallirallus lafresnayanus,core_sources
(Hume 2017) core source_claim,(Greenway 1967)_EXCLUDE_0_Inaccessible_NA_NA,citation,Pareudiastes pacificus,core_sources
(Hume 2017) core source_claim,(IUCN 2025) core source_claim,citation,Prosobonia cancellata,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus longirostris,citation,Acrocephalus longirostris,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus yamashinae,citation,Acrocephalus yamashinae,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Alopochen mauritiana,citation,Alopochen mauritiana,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Anthornis melanocephala,citation,Anthornis melanocephala,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cabalus modestus,citation,Cabalus modestus,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Carpodacus ferreorostris,citation,Carpodacus ferreorostris,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Coturnix novaezelandiae,citation,Coturnix novaezelandiae,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Dryolimnas augusti,citation,Dryolimnas augusti,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Hypotaenidia pacifica,citation,Hypotaenidia pacifica,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Hypotaenidia poeciloptera,citation,Hypotaenidia poeciloptera,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mascarenotus murivorus,citation,Mascarenotus murivorus,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Melamprosops phaeosoma,citation,Melamprosops phaeosoma,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mergus australis,citation,Mergus australis,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Microgoura meeki,citation,Microgoura meeki,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mundia elpenor,citation,Mundia elpenor,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Necropsittacus rodricanus,citation,Necropsittacus rodricanus,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Nesoenas duboisi,citation,Nesoenas duboisi,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Nyctanassa carcinocatactes,citation,Nyctanassa carcinocatactes,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Nycticorax mauritianus,citation,Nycticorax mauritianus,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Nycticorax megacephalus,citation,Nycticorax megacephalus,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pareudiastes silvestris,citation,Pareudiastes silvestris,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pomarea fluxa,citation,Pomarea fluxa,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Sephanoides fernandensis,citation,Sephanoides fernandensis,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Threskiornis solitarius,citation,Threskiornis solitarius,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Toxostoma guttatum,citation,Toxostoma guttatum,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Turnagra tanagra,citation,Turnagra tanagra,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Zapornia sandwichensis,citation,Zapornia sandwichensis,core_sources
(Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Zoothera terrestris,citation,Zoothera terrestris,core_sources
(Hume 2017) core source_claim,(Perkins 1919)_EXCLUDE_?_Opinion claim_NA_NA,citation,Dysmorodrepanis munroi,core_sources
(Hume 2017) core source_claim,(Rothschild 1894)_EXCLUDE_0_Inaccessible_NA_NA,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Rothschild 1907)_EXCLUDE_0_Opinion claim_NA_NA,citation,Poodytes rufescens,core_sources
(Hume 2017) core source_claim,Travers in Medway 2004a_EXCLUDE_0_Inaccessible_NA_NA,citation,Traversia lyalli,core_sources
(Hume 2017) core source_claim,(Turbott 1990)_EXCLUDE_0_Inaccessible_NA_NA,citation,Coenocorypha barrierensis,core_sources
(IUCN 2025) core source_claim,A. Buckner pers. comm. 2015_EXCLUDE_0_Inaccessible_NA_NA,citation,Anolis brunneus,core_sources
(IUCN 2025) core source_claim,A. Burbidge pers. comm._EXCLUDE_0_Inaccessible_NA_NA,citation,Bettongia lesueur,core_sources
(IUCN 2025) core source_claim,A. Gouni in litt. 2012_EXCLUDE_0_Inaccessible_NA_NA,citation,Acrocephalus musae,core_sources
(IUCN 2025) core source_claim,A. Kroner in litt. 2019_EXCLUDE_0_Inaccessible_NA_NA,citation,Hypotaenidia owstoni,core_sources
(IUCN 2025) core source_claim,A. Llerena pers. comm. 2018_EXCLUDE_0_Inaccessible_NA_NA,citation,Conolophus subcristatus,core_sources
(IUCN 2025) core source_claim,A. Skerrett in litt. 1999_EXCLUDE_0_Inaccessible_NA_NA,citation,Falco araeus,core_sources
(IUCN 2025) core source_claim,A. Skerrett in litt. 1999_EXCLUDE_0_Inaccessible_NA_NA,citation,Otus insularis,core_sources
(IUCN 2025) core source_claim,A.A.T. Amarasinghe pers. comm. 2019_EXCLUDE_0_Inaccessible_NA_NA,citation,Cylindrophis isolepis,core_sources
(IUCN 2025) core source_claim,(ACAP 2010c)_EXCLUDE_0_Opinion claim_NA_NA,citation,Phoebetria fusca,core_sources
(IUCN 2025) core source_claim,(ACAP 2010b)_EXCLUDE_0_Opinion claim_NA_NA,citation,Phoebetria palpebrata,core_sources
(IUCN 2025) core source_claim,(ACAP 2009b)_EXCLUDE_0_Opinion claim_NA_NA,citation,Diomedea epomophora,core_sources
(IUCN 2025) core source_claim,(Abbott 2008)_EXCLUDE_1_No claim_NA_NA,citation,Chaeropus ecaudatus,core_sources
(IUCN 2025) core source_claim,(Abbott 2008)_EXCLUDE_1_No claim_NA_NA,citation,Perameles eremiana,core_sources
(IUCN 2025) core source_claim,(Abbott 2008)_EXCLUDE_1_No claim_NA_NA,citation,Setonix brachyurus,core_sources
(IUCN 2025) core source_claim,(Abbott 2002)_EXCLUDE_1_Opinion claim_NA_NA,citation,Chaeropus ecaudatus,core_sources
(IUCN 2025) core source_claim,(Abbott 2002)_EXCLUDE_1_No claim_NA_NA,citation,Perameles eremiana,core_sources
(IUCN 2025) core source_claim,(Abbott 2002)_EXCLUDE_1_No claim_NA_NA,citation,Setonix brachyurus,core_sources
(IUCN 2025) core source_claim,(Abe et al. 2005)_EXCLUDE_?_Inaccessible_NA_NA,citation,Tokudaia muenninki,core_sources
(IUCN 2025) core source_claim,(Abe et al. 2005)_EXCLUDE_?_Inaccessible_NA_NA,citation,Tokudaia osimensis,core_sources
(IUCN 2025) core source_claim,(Abe et al. 2005)_EXCLUDE_?_Inaccessible_NA_NA,citation,Tokudaia tokunoshimensis,core_sources
(IUCN 2025) core source_claim,(Aguirre-Muñoz et al. 2018)_EXCLUDE_0_No claim_NA_NA,citation,Synthliboramphus craveri,core_sources
(IUCN 2025) core source_claim,(Aguirre-Muñoz et al. 2011)_EXCLUDE_0_No claim_NA_NA,citation,Hydrobates socorroensis,core_sources
(IUCN 2025) core source_claim,(Al-Saghier et al. 2000)_EXCLUDE_0_Inaccessible_NA_NA,citation,Bulweria fallax,core_sources
(IUCN 2025) core source_claim,(Alves et al. 2011)_EXCLUDE_0_Opinion claim_NA_NA,citation,Pterodroma arminjoniana,core_sources
(IUCN 2025) core source_claim,(Andreone & Guarino 2003)_EXCLUDE_1_Opinion claim_NA_NA,citation,Chioninia coctei,core_sources
(IUCN 2025) core source_claim,(Andrew et al. 2018)_EXCLUDE_1_Opinion claim_NA_NA,citation,Cryptoblepharus egeriae,core_sources
(IUCN 2025) core source_claim,(Andrew et al. 2018)_EXCLUDE_1_Opinion claim_NA_NA,citation,Lepidodactylus listeri,core_sources
(IUCN 2025) core source_claim,(Arcos & Oro 2004)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus mauretanicus,core_sources
(IUCN 2025) core source_claim,(Arcos et al. 2012)_EXCLUDE_0_Inaccessible_NA_NA,citation,Puffinus mauretanicus,core_sources
(IUCN 2025) core source_claim,(Arnaud et al. 1993)_INCLUDE_NA_Predation in support_no_no,citation,Urosaurus auriculatus,core_sources
(IUCN 2025) core source_claim,Arnold 2000_EXCLUDE_?_Inaccessible_NA_NA,citation,Leiolopisma telfairii,core_sources
(IUCN 2025) core source_claim,(Arnold 1980)_EXCLUDE_1_No claim_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Arnold 2000)_EXCLUDE_0_Inaccessible_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Arnold & Jones 1994)_EXCLUDE_0_Inaccessible_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Ashby 1924)_EXCLUDE_?_Inaccessible_NA_NA,citation,Pezoporus occidentalis,core_sources
(IUCN 2025) core source_claim,(Augros & Hawlitschek 2019)_EXCLUDE_0_Not in English or Spanish_NA_NA,citation,Liophidium mayottensis,core_sources
(IUCN 2025) core source_claim,(Augros & Hawlitschek 2019)_EXCLUDE_0_Not in English or Spanish_NA_NA,citation,Lycodryas cococola,core_sources
(IUCN 2025) core source_claim,(Augros & Hawlitschek 2019)_EXCLUDE_0_Not in English or Spanish_NA_NA,citation,Lycodryas maculatus,core_sources
(IUCN 2025) core source_claim,B. Tershy in litt. 2007_EXCLUDE_0_Inaccessible_NA_NA,citation,Synthliboramphus hypoleucus,core_sources
(IUCN 2025) core source_claim,B. Wilson pers. comm. 2015_EXCLUDE_0_Inaccessible_NA_NA,citation,Celestus duquesneyi,core_sources
(IUCN 2025) core source_claim,B. Wilson pers. comm. 2015_EXCLUDE_0_Inaccessible_NA_NA,citation,Celestus hewardi,core_sources
(IUCN 2025) core source_claim,B. Wilson pers. comm. 2015_EXCLUDE_0_Inaccessible_NA_NA,citation,Celestus microblepharis,core_sources
(IUCN 2025) core source_claim,B. Wilson pers. comm. 2015_EXCLUDE_0_Inaccessible_NA_NA,citation,Pholidoscelis dorsalis,core_sources
(IUCN 2025) core source_claim,B. Wilson pers. comm. 2015_EXCLUDE_0_Inaccessible_NA_NA,citation,Tropidophis stullae,core_sources
(IUCN 2025) core source_claim,(BEST 2016)_EXCLUDE_0_Opinion claim_NA_NA,citation,Todiramphus gambieri,core_sources
(IUCN 2025) core source_claim,(Bain et al. 2023)_EXCLUDE_1_No claim_NA_NA,citation,Setonix brachyurus,core_sources
(IUCN 2025) core source_claim,(Bain et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,citation,Setonix brachyurus,core_sources
(IUCN 2025) core source_claim,(Bain et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,citation,Setonix brachyurus,core_sources
(IUCN 2025) core source_claim,(Baird & Dann 2003)_EXCLUDE_1_Opinion claim_NA_NA,citation,Thinornis cucullatus,core_sources
(IUCN 2025) core source_claim,Banko 2009_EXCLUDE_0_Inaccessible_NA_NA,citation,Corvus hawaiiensis,core_sources
(IUCN 2025) core source_claim,(Banko 1992)_EXCLUDE_1_Opinion claim_NA_NA,citation,Branta sandvicensis,core_sources
(IUCN 2025) core source_claim,(Banko et al. 2014a)_INCLUDE_NA_Predation in support_no_no,citation,Loxioides bailleui,core_sources
(IUCN 2025) core source_claim,(Banko et al. 2002a)_EXCLUDE_0_Inaccessible_NA_NA,citation,Corvus hawaiiensis,core_sources
(IUCN 2025) core source_claim,(Banko et al. 2013)_EXCLUDE_1_No claim_NA_NA,citation,Loxioides bailleui,core_sources
(IUCN 2025) core source_claim,(Banko et al. 2019)_INCLUDE_NA_Predation not in support_no_no,citation,Chasiempis ibidis,core_sources
(IUCN 2025) core source_claim,(Banko et al. 2014b)_EXCLUDE_1_Opinion claim_NA_NA,citation,Loxioides bailleui,core_sources
(IUCN 2025) core source_claim,(Banko & Elder 1990)_EXCLUDE_0_Opinion claim_NA_NA,citation,Branta sandvicensis,core_sources
(IUCN 2025) core source_claim,(Barbraud et al. 2009)_EXCLUDE_1_No claim_NA_NA,citation,Procellaria aequinoctialis,core_sources
(IUCN 2025) core source_claim,(Basse et al. 1999)_EXCLUDE_1_No claim_NA_NA,citation,Apteryx mantelli,core_sources
(IUCN 2025) core source_claim,(Bell 1990)_EXCLUDE_0_Inaccessible_NA_NA,citation,Petroica multicolor,core_sources
(IUCN 2025) core source_claim,(Bell 1990)_EXCLUDE_0_Inaccessible_NA_NA,citation,Zosterops tenuirostris,core_sources
(IUCN 2025) core source_claim,(Bell et al. 2012)_EXCLUDE_1_No claim_NA_NA,citation,Oligosoma toka,core_sources
(IUCN 2025) core source_claim,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,citation,Gonatodes daudini,core_sources
(IUCN 2025) core source_claim,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,citation,Amerotyphlops tasymicris,core_sources
(IUCN 2025) core source_claim,(Bentz et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,citation,Sphaerodactylus kirbyi,core_sources
(IUCN 2025) core source_claim,(Berlin & Vangelder 1999)_EXCLUDE_0_Inaccessible_NA_NA,citation,Palmeria dolei,core_sources
(IUCN 2025) core source_claim,(Bird et al. 2014)_EXCLUDE_1_Opinion claim_NA_NA,citation,Pseudobulweria becki,core_sources
(IUCN 2025) core source_claim,(BirdLife International 2001)_EXCLUDE_0_No claim_NA_NA,citation,Megapodius bernsteinii,core_sources
(IUCN 2025) core source_claim,(Birds Caribbean 2021)_EXCLUDE_0_No claim_NA_NA,citation,Melopyrrha grandis,core_sources
(IUCN 2025) core source_claim,(Bissessur & Florens 2018)_EXCLUDE_0_No claim_NA_NA,citation,Gongylomorphus fontenayi,core_sources
(IUCN 2025) core source_claim,(Biswell 2006)_EXCLUDE_0_Inaccessible_NA_NA,citation,Larus bulleri,core_sources
(IUCN 2025) core source_claim,(Blanvillain & Thorsen 2003)_EXCLUDE_1_No claim_NA_NA,citation,Ducula galeata,core_sources
(IUCN 2025) core source_claim,(Blumton 1989)_EXCLUDE_0_No claim_NA_NA,citation,Lanius ludovicianus,core_sources
(IUCN 2025) core source_claim,(Boersma et al. 2013)_EXCLUDE_0_No claim_NA_NA,citation,Spheniscus mendiculus,core_sources
(IUCN 2025) core source_claim,(Boersma et al. 2015)_EXCLUDE_0_Inaccessible_NA_NA,citation,Spheniscus mendiculus,core_sources
(IUCN 2025) core source_claim,(Bonnaud et al. 2012)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus yelkouan,core_sources
(IUCN 2025) core source_claim,(Borroto-Páez et al. 2011)_EXCLUDE_0_Opinion claim_NA_NA,citation,Mysateles prehensilis,core_sources
(IUCN 2025) core source_claim,(Borroto-Páez & Mancina 2017)_EXCLUDE_0_Opinion claim_NA_NA,citation,Mysateles prehensilis,core_sources
(IUCN 2025) core source_claim,(Borroto-Páez & Ramos 2012)_EXCLUDE_0_Opinion claim_NA_NA,citation,Mysateles prehensilis,core_sources
(IUCN 2025) core source_claim,(Bradley & Gerber 2005)_EXCLUDE_1_No claim_NA_NA,citation,Spondylurus anegadae,core_sources
(IUCN 2025) core source_claim,(Bradley & Gerber 2006)_EXCLUDE_0_Inaccessible_NA_NA,citation,Cyclura pinguis,core_sources
(IUCN 2025) core source_claim,(Brooke 2004)_EXCLUDE_?_Inaccessible_NA_NA,citation,Nesofregetta fuliginosa,core_sources
(IUCN 2025) core source_claim,(Bruner 1972)_EXCLUDE_0_Inaccessible_NA_NA,citation,Hypotaenidia pacifica,core_sources
(IUCN 2025) core source_claim,(Buden 2000)_EXCLUDE_?_No claim_NA_NA,citation,Pampusana kubaryi,core_sources
(IUCN 2025) core source_claim,(Burbidge & Manly 2002)_EXCLUDE_1_Does not test claim_NA_NA,citation,Leporillus conditor,core_sources
(IUCN 2025) core source_claim,(Burbidge & McKenzie 1989)_EXCLUDE_1_No claim_NA_NA,citation,Pseudomys oralis,core_sources
(IUCN 2025) core source_claim,(Burbidge & Short 2008)_EXCLUDE_0_Inaccessible_NA_NA,citation,Bettongia lesueur,core_sources
(IUCN 2025) core source_claim,(Burns et al. 2013)_INCLUDE_NA_Population in support_yes_yes,citation,Charadrius sanctaehelenae,core_sources
(IUCN 2025) core source_claim,(Burns et al. 2013)_INCLUDE_NA_Predation in support_no_no,citation,Charadrius sanctaehelenae,core_sources
(IUCN 2025) core source_claim,(Butler 1992)_EXCLUDE_?_Inaccessible_NA_NA,citation,Petroica traversi,core_sources
(IUCN 2025) core source_claim,C. Blanvillain in litt. 2016_EXCLUDE_0_Inaccessible_NA_NA,citation,Vini ultramarina,core_sources
(IUCN 2025) core source_claim,(Jones et al. 1995)_INCLUDE_NA_Predation in support_no_no,citation,Falco punctatus,core_sources
(IUCN 2025) core source_claim,C. Licarião in litt. 2024_EXCLUDE_0_Inaccessible_NA_NA,citation,Vireo gracilirostris,core_sources
(IUCN 2025) core source_claim,(Lorenzo et al. 2011)_EXCLUDE_1_Opinion claim_NA_NA,citation,Sylvilagus mansuetus,core_sources
(IUCN 2025) core source_claim,C. Marquez and D. Cisneros-Heredia pers. comm. 2014_EXCLUDE_0_Inaccessible_NA_NA,citation,Microlophus bivittatus,core_sources
(IUCN 2025) core source_claim,(Palmer et al. 2003)_EXCLUDE_0_Opinion claim_NA_NA,citation,Isoodon auratus,core_sources
(IUCN 2025) core source_claim,C. Schuster pers. comm. 2022_EXCLUDE_0_Inaccessible_NA_NA,citation,Crocidura canariensis,core_sources
(IUCN 2025) core source_claim,(Espinosa-Gayosso & Álvarez-Castañeda 2006)_INCLUDE_NA_Predation in support_no_no,citation,Sylvilagus mansuetus,core_sources
(IUCN 2025) core source_claim,(Cabrera & Carreira 2009)_EXCLUDE_1_Opinion claim_NA_NA,citation,Contomastix charrua,core_sources
(IUCN 2025) core source_claim,(Cade & Jones 1993)_EXCLUDE_1_Inaccessible_NA_NA,citation,Falco punctatus,core_sources
(IUCN 2025) core source_claim,(Camp et al. 2009)_EXCLUDE_1_No claim_NA_NA,citation,Acrocephalus hiwae,core_sources
(IUCN 2025) core source_claim,(Carboneras et al. 2014)_EXCLUDE_0_Inaccessible_NA_NA,citation,Procellaria aequinoctialis,core_sources
(IUCN 2025) core source_claim,(Carrión Avilés 2012)_EXCLUDE_0_Not in English or Spanish_NA_NA,citation,Microlophus bivittatus,core_sources
(IUCN 2025) core source_claim,(Case 1982)_EXCLUDE_?_Opinion claim_NA_NA,citation,Sauromalus klauberi,core_sources
(IUCN 2025) core source_claim,(Castro-Prieto et al. 2021)_EXCLUDE_0_Opinion claim_NA_NA,citation,Antrostomus noctitherus,core_sources
(IUCN 2025) core source_claim,(Cayot 2008)_INCLUDE_NA_Predation in support_no_no,citation,Conolophus subcristatus,core_sources
(IUCN 2025) core source_claim,(Cayot et al. 1994)_EXCLUDE_?_Opinion claim_NA_NA,citation,Amblyrhynchus cristatus,core_sources
(IUCN 2025) core source_claim,(Ceballos & Ceballos 2014)_EXCLUDE_1_Inaccessible_NA_NA,citation,Peromyscus stephani,core_sources
(IUCN 2025) core source_claim,(Ceia 2008)_EXCLUDE_0_Not in English or Spanish_NA_NA,citation,Pyrrhula murina,core_sources
(IUCN 2025) core source_claim,(Cepeda & Cruz 1994)_EXCLUDE_0_Inaccessible_NA_NA,citation,Larus fuliginosus,core_sources
(IUCN 2025) core source_claim,Cheke and Hume 2008_EXCLUDE_?_Inaccessible_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Cheke & Hume 2008)_EXCLUDE_0_Opinion claim_NA_NA,citation,Aphanapteryx bonasia,core_sources
(IUCN 2025) core source_claim,(Cheke & Hume 2008)_EXCLUDE_0_No claim_NA_NA,citation,Leiolopisma telfairii,core_sources
(IUCN 2025) core source_claim,(Cheke & Hume 2008)_EXCLUDE_0_No claim_NA_NA,citation,Phelsuma guentheri,core_sources
(IUCN 2025) core source_claim,(Cheke & Hume 2008)_EXCLUDE_?_Inaccessible_NA_NA,citation,Gongylomorphus fontenayi,core_sources
(IUCN 2025) core source_claim,(Cheke & Hume 2008)_EXCLUDE_?_Inaccessible_NA_NA,citation,Phelsuma edwardnewtonii,core_sources
(IUCN 2025) core source_claim,(Chittenden 2003)_EXCLUDE_0_Inaccessible_NA_NA,citation,Geokichla guttata,core_sources
(IUCN 2025) core source_claim,(Christensen & Burrows 1995)_EXCLUDE_0_No claim_NA_NA,citation,Bettongia anhydra,core_sources
(IUCN 2025) core source_claim,(Christensen & Burrows 1995)_INCLUDE_NA_Predation not in support_no_no,citation,Isoodon auratus,core_sources
(IUCN 2025) core source_claim,(Cleere & Nurney 1998)_EXCLUDE_0_Inaccessible_NA_NA,citation,Antrostomus noctitherus,core_sources
(IUCN 2025) core source_claim,(Clemann 2015)_EXCLUDE_0_No claim_NA_NA,citation,Uperoleia mahonyi,core_sources
(IUCN 2025) core source_claim,(Clough 1972)_EXCLUDE_1_No claim_NA_NA,citation,Geocapromys ingrahami,core_sources
(IUCN 2025) core source_claim,(Clough 1976)_INCLUDE_NA_Population not in support_yes_no,citation,Geocapromys brownii,core_sources
(IUCN 2025) core source_claim,(Clout & Merton 1998)_INCLUDE_NA_Predation in support_no_no,citation,Strigops habroptilus,core_sources
(IUCN 2025) core source_claim,(Cole 2005)_EXCLUDE_0_No claim_NA_NA,citation,Cryptoblepharus boutonii,core_sources
(IUCN 2025) core source_claim,(Cole 2005)_EXCLUDE_0_No claim_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Cole 2011)_EXCLUDE_0_No claim_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Cole et al. 2009)_EXCLUDE_0_Inaccessible_NA_NA,citation,Nactus serpensinsula,core_sources
(IUCN 2025) core source_claim,(Collar et al. 1994)_EXCLUDE_0_Inaccessible_NA_NA,citation,Ptilinopus mercierii,core_sources
(IUCN 2025) core source_claim,(Collar & Stuart 1985)_EXCLUDE_0_Inaccessible_NA_NA,citation,Haematopus meadewaldoi,core_sources
(IUCN 2025) core source_claim,(Collar 2015)_EXCLUDE_1_Opinion claim_NA_NA,citation,Didunculus strigirostris,core_sources
(IUCN 2025) core source_claim,(Collar et al. 1994)_EXCLUDE_0_Inaccessible_NA_NA,citation,Hypotaenidia poeciloptera,core_sources
(IUCN 2025) core source_claim,(Collister 1994)_INCLUDE_NA_Population not in support_yes_no,citation,Lanius ludovicianus,core_sources
(IUCN 2025) core source_claim,(Comer & Danks 2000)_EXCLUDE_0_No claim_NA_NA,citation,Atrichornis clamosus,core_sources
(IUCN 2025) core source_claim,(Copley 1999b)_INCLUDE_NA_Predation in support_no_no,citation,Leporillus conditor,core_sources
(IUCN 2025) core source_claim,(Copley 1999a)_INCLUDE_NA_Predation in support_no_no,citation,Leporillus conditor,core_sources
