cited_by_id,article_id,edge_type,scientificName,encounter_method
(Bauer et al. 2006b)_EXCLUDE_1_Opinion claim_NA_NA,(Whitaker et al. 2004)_EXCLUDE_0_Inaccessible_NA_NA,citation,Dierogekko nehoueensis,snowball
(Bell & Bell 2000a)_EXCLUDE_1_Opinion claim_NA_NA,(Fleming 1939)_EXCLUDE_?_No claim_NA_NA,citation,Thinornis novaeseelandiae,snowball
(Bell et al. 2018)_INCLUDE_NA_Predation in support_no_no,(Bell 2013)_EXCLUDE_0_Opinion claim_NA_NA,citation,Procellaria parkinsoni,snowball
(Benshemesh 2007)_INCLUDE_NA_Predation in support_no_no,(Benshemesh 1992)_EXCLUDE_0_Inaccessible_NA_NA,citation,Leipoa ocellata,snowball
(Berruti et al. 1995)_EXCLUDE_1_Opinion claim_NA_NA,(Van Aarde 1981)_INCLUDE_NA_Predation in support_no_no,citation,Procellaria aequinoctialis,snowball
(Berruti et al. 1995)_EXCLUDE_1_Opinion claim_NA_NA,(Van Rensburg 1985)_INCLUDE_NA_Predation in support_no_no,citation,Procellaria aequinoctialis,snowball
(Bird et al. 2014)_EXCLUDE_1_Opinion claim_NA_NA,(IUCN 2025) core source_claim,citation,Pseudobulweria becki,snowball
(BirdLife International 2018)_EXCLUDE_0_Opinion claim_NA_NA,(Croxall & Gales 1998)_EXCLUDE_0_Inaccessible_NA_NA,citation,Thalassarche steadi,snowball
(BirdLife International 2018)_EXCLUDE_0_Opinion claim_NA_NA,(Taylor 2000)_EXCLUDE_0_No claim_NA_NA,citation,Thalassarche steadi,snowball
(BirdLife International 2018)_EXCLUDE_0_Opinion claim_NA_NA,(Thompson et al. 2007)_EXCLUDE_0_Inaccessible_NA_NA,citation,Thalassarche steadi,snowball
(BirdLife International 2023)_EXCLUDE_0_Opinion claim_NA_NA,(Guo et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,citation,Eurostopodus nigripennis,snowball
(BirdLife International 2023)_EXCLUDE_0_Opinion claim_NA_NA,J. Read in litt. 2016_EXCLUDE_0_Inaccessible_NA_NA,citation,Eurostopodus nigripennis,snowball
(Boersma et al. 2013)_EXCLUDE_0_No claim_NA_NA,(Barnett 1986)_EXCLUDE_0_No claim_NA_NA,citation,Spheniscus mendiculus,snowball
(Boersma et al. 2013)_EXCLUDE_0_No claim_NA_NA,(Boersma 1976)_EXCLUDE_?_No claim_NA_NA,citation,Spheniscus mendiculus,snowball
(Boersma et al. 2013)_EXCLUDE_0_No claim_NA_NA,(Steinfurth 2007)_INCLUDE_NA_Predation in support_no_no,citation,Spheniscus mendiculus,snowball
(Boersma et al. 2013)_EXCLUDE_0_No claim_NA_NA,(Steinfurth & Merlen 2005)_EXCLUDE_0_Inaccessible_NA_NA,citation,Spheniscus mendiculus,snowball
(Bonnaud et al. 2010a)_INCLUDE_NA_Predation in support_no_no,(García Márquez et al. 1999)_INCLUDE_NA_Predation in support_no_no,citation,Gallotia simonyi,snowball
(Borkin et al. 2023)_INCLUDE_NA_Predation in support_no_no,(Daniel & Williams 1984)_INCLUDE_NA_Predation in support_no_no,citation,Chalinolobus tuberculatus,snowball
(Bourgeois & Vidal 2008)_EXCLUDE_1_Opinion claim_NA_NA,(Bonnaud et al. 2007)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus yelkouan,snowball
(Bourgeois & Vidal 2008)_EXCLUDE_1_Opinion claim_NA_NA,(Tranchant et al. 2003)_INCLUDE_NA_Predation in support_no_no,citation,Puffinus yelkouan,snowball
(Bourgoin et al. 2024)_EXCLUDE_1_Does not test claim_NA_NA,(Barbraud et al. 2021)_INCLUDE_NA_Predation in support_no_no,citation,Diomedea exulans,snowball
(Bourgoin et al. 2024)_EXCLUDE_1_Does not test claim_NA_NA,(Barbraud et al. 2021)_INCLUDE_NA_Population in support_no_no,citation,Diomedea exulans,snowball
(Bourgoin et al. 2024)_EXCLUDE_1_Does not test claim_NA_NA,(Blanchard et al. 2024)_INCLUDE_NA_Population in support_yes_yes,citation,Diomedea exulans,snowball
(Bourgoin et al. 2024)_EXCLUDE_1_Does not test claim_NA_NA,(Blanchard et al. 2024)_INCLUDE_NA_Predation in support_no_no,citation,Diomedea exulans,snowball
(Campolina et al. 2024)_EXCLUDE_1_Does not test claim_NA_NA,(Newton & Fugler 1989)_EXCLUDE_1_No claim_NA_NA,citation,Procellaria cinerea,snowball
(Campolina et al. 2024) core source_claim,(Azumi et al. 2021)_INCLUDE_NA_Predation in support_no_no,citation,Calonectris leucomelas,core_sources
(Campolina et al. 2024) core source_claim,(Dilley et al. 2017)_INCLUDE_NA_Population in support_yes_no,citation,Procellaria aequinoctialis,core_sources
