node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support
(Moseby et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2019),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Moseby et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2015),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Moyses et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Moyses et al. 2020),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Murphy et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Murphy et al. 2019),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Oakwood 2000)_INCLUDE_NA_Predation in support_no_no,(Oakwood 2000),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Paltridge 2002)_INCLUDE_NA_Predation in support_no_no,(Paltridge 2002),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Paltridge et al. 1997)_INCLUDE_NA_Predation in support_no_no,(Paltridge et al. 1997),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Paltridge 2005)_INCLUDE_NA_Predation in support_no_no,(Paltridge 2005),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Peacock & Abbott 2014)_INCLUDE_NA_Predation in support_no_no,(Peacock & Abbott 2014),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Pedler et al. 2016)_INCLUDE_NA_Population in support_yes_no,(Pedler et al. 2016),INCLUDE,,Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes
(Pollock 1999)_INCLUDE_NA_Predation in support_no_no,(Pollock 1999),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Soderquist & Serena 1994)_INCLUDE_NA_Predation in support_no_no,(Soderquist & Serena 1994),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Stokeld et al. 2018)_INCLUDE_NA_Predation in support_no_no,(Stokeld et al. 2018),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Vernes et al. 2021b)_INCLUDE_NA_Predation in support_no_no,(Vernes et al. 2021b),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Engilis Jr & Pratt 1993)_EXCLUDE_NA_No claim_NA_NA,(Engilis Jr & Pratt 1993),EXCLUDE,,No claim,,no,No claim,No claim,Excluded,Not relevant
(Whitaker et al. 2005)_EXCLUDE_NA_Unpublished data or article_NA_NA,(Whitaker et al. 2005),EXCLUDE,NA,Inaccessible,,no,Inaccessible,Unpublished data or article,Excluded,Not relevant
(Whitaker et al. 2005)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Whitaker et al. 2005),EXCLUDE,Report,Inaccessible,,no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant
(Meckstroth et al. 2007)_EXCLUDE_NA_No claim_NA_NA,(Meckstroth et al. 2007),EXCLUDE,,No claim,,no,No claim,No claim,Excluded,Not relevant
(Rodríguez-Ferraro & Sanz 2007)_INCLUDE_NA_Predation in support_no_no,(Rodríguez-Ferraro & Sanz 2007),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Cheke 1987)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Cheke 1987),EXCLUDE,Book or chapter,Inaccessible,,no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant
(Valido et al. 2000)_EXCLUDE_NA_Expert opinion_NA_NA,(Valido et al. 2000),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Autai et al. 2012)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Autai et al. 2012),EXCLUDE,Report,Inaccessible,,no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant
(ACAP 2009a)_EXCLUDE_NA_Expert opinion_NA_NA,(ACAP 2009a),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(ACAP 2010a)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(ACAP 2010a),EXCLUDE,Report,Inaccessible,,no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant
(ACAP 2010c)_EXCLUDE_NA_Expert opinion_NA_NA,(ACAP 2010c),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Alberts 2000) core source_INCLUDE_NA_Predation in support_no_no,(Alberts 2000) core source,INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Andreone & Guarino 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Andreone & Guarino 2003),EXCLUDE,,Does not test claim,,no,Does not test claim,Expert opinion,Excluded,Not relevant
(Araya et al. 2000)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Araya et al. 2000),EXCLUDE,Report,Inaccessible,,no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant
(Lloyd 2001)_INCLUDE_NA_Predation in support_no_no,(Lloyd 2001),INCLUDE,,Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes
(Gangloff et al. 2009)_EXCLUDE_NA_No claim_NA_NA,(Gangloff et al. 2009),EXCLUDE,,No claim,,no,No claim,No claim,Excluded,Not relevant
