key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Ctenotus kurnbudj (IUCN 2025) core source_claim,(McGregor et al. 2014)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus kurnbudj,1,(McGregor et al. 2014),"",Not relevant,No claim,"",no,2016
Ctenotus kurnbudj (IUCN 2025) core source_claim,(McGregor et al. 2015)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus kurnbudj,1,(McGregor et al. 2015),"",Not relevant,No claim,"",no,2016
Ctenotus kurnbudj (IUCN 2025) core source_claim,(McGregor et al. 2016)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus kurnbudj,1,(McGregor et al. 2016),"",Not relevant,No claim,"",no,2016
Ctenotus serotinus (IUCN 2025) core source_claim,(Chapple et al. 2024)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus serotinus,1,(Chapple et al. 2024),"",Not relevant,No claim,"",no,2016
Ctenotus stuarti (IUCN 2025) core source_claim,(Leahy et al. 2015)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus stuarti,1,(Leahy et al. 2015),"",Not relevant,No claim,"",no,2016
Ctenotus stuarti (IUCN 2025) core source_claim,(McGregor et al. 2014)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus stuarti,1,(McGregor et al. 2014),"",Not relevant,No claim,"",no,2016
Ctenotus stuarti (IUCN 2025) core source_claim,(McGregor et al. 2015)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus stuarti,1,(McGregor et al. 2015),"",Not relevant,No claim,"",no,2016
Ctenotus stuarti (IUCN 2025) core source_claim,(McGregor et al. 2016)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Ctenotus stuarti,1,(McGregor et al. 2016),"",Not relevant,No claim,"",no,2016
Cubophis brooksi (IUCN 2025) core source_claim,J. Townsend pers. comm. 2020_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cubophis brooksi,1,J. Townsend pers. comm. 2020,0,Not relevant,Inaccessible,"",no,2019
Cyanoramphus auriceps (IUCN 2025) core source_claim,(Heather & Robertson 1997)_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyanoramphus auriceps,1,(Heather & Robertson 1997),?,Not relevant,Inaccessible,"",no,2021
Cyanoramphus auriceps (IUCN 2025) core source_claim,(Higgins 1999)_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyanoramphus auriceps,1,(Higgins 1999),?,Not relevant,Inaccessible,"",no,2021
Cyanoramphus auriceps Opportunistic_Systematic external review,(Miskelly et al. 2020)_INCLUDE_NA_Predation in support_no_no,Opportunistic_Systematic external review,Cyanoramphus auriceps,1,(Miskelly et al. 2020),"",Yes,Predation in support without data,no,no,2025
Cyanoramphus auriceps Web of Science_Systematic external review,(Funk 1996)_EXCLUDE_1_No claim_NA_NA,Web of Science_Systematic external review,Cyanoramphus auriceps,1,(Funk 1996),"",Not relevant,No claim,"",no,2025
Cyanoramphus forbesi (Doherty et al. 2016) core source_claim,(Higgins 1999)_EXCLUDE_?_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Cyanoramphus forbesi,2,(Higgins 1999),?,Not relevant,Inaccessible,"",no,2014
Cyanoramphus forbesi (IUCN 2025) core source_claim,(Higgins 1999)_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyanoramphus forbesi,1,(Higgins 1999),?,Not relevant,Inaccessible,"",no,2021
Cyanoramphus forbesi (Medina et al. 2011) core source_claim,(BirdLife International 2000)_EXCLUDE_0_Inaccessible_NA_NA,(Medina et al. 2011) core source_claim,Cyanoramphus forbesi,1,(BirdLife International 2000),0,Not relevant,Inaccessible,"",no,2009
Cyclodomorphus praealtus (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclodomorphus praealtus,(IUCN 2025) core source_claim,Cyclodomorphus praealtus,1,NOTHING NA Cyclodomorphus praealtus,"",Not relevant,No citation given,"",no,2016
Cyclura carinata (Alberts 2000) core source_claim,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,(Alberts 2000) core source_claim,Cyclura carinata,1,(Iverson 1978),"",Yes,Predation in support without data,no,no,1998
Cyclura carinata (Doherty et al. 2016) core source_claim,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Cyclura carinata,1,(Iverson 1978),"",Yes,Predation in support without data,no,no,2014
Cyclura carinata (Doherty et al. 2016) core source_claim,(Mitchell et al. 2002)_EXCLUDE_0_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Cyclura carinata,1,(Mitchell et al. 2002),"",Not relevant,No claim,"",no,2014
Cyclura carinata (IUCN 2025) core source_claim,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Cyclura carinata,1,(Iverson 1978),"",Yes,Predation in support without data,no,no,2018
Cyclura carinata (IUCN 2025) core source_claim,(Iverson 1979)_EXCLUDE_1_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyclura carinata,2,(Iverson 1979),1,Not relevant,Inaccessible,"",no,2018
Cyclura carinata (Medina et al. 2011) core source_claim,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,(Medina et al. 2011) core source_claim,Cyclura carinata,1,(Iverson 1978),"",Yes,Predation in support without data,no,no,2009
Cyclura carinata (Medina et al. 2011) core source_claim,(Mitchell et al. 2002)_EXCLUDE_0_No claim_NA_NA,(Medina et al. 2011) core source_claim,Cyclura carinata,1,(Mitchell et al. 2002),"",Not relevant,No claim,"",no,2009
Cyclura carinata Opportunistic_Systematic external review,(Iverson 1978)_INCLUDE_NA_Predation in support_no_no,Opportunistic_Systematic external review,Cyclura carinata,2,(Iverson 1978),"",Yes,Predation in support without data,no,no,
Cyclura collei (Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura collei,(Alberts 2000) core source_claim,Cyclura collei,1,NOTHING NA Cyclura collei,"",Not relevant,No citation given,"",no,1998
Cyclura collei (Doherty et al. 2016) core source_claim,(Wilson & van Veen 2005)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Cyclura collei,1,(Wilson & van Veen 2005),0,Not relevant,Inaccessible,"",no,2014
Cyclura collei (Doherty et al. 2016) core source_claim,(van Veen & Wilson 2017)_EXCLUDE_1_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Cyclura collei,2,(van Veen & Wilson 2017),1,Not relevant,Inaccessible,"",no,2014
Cyclura collei (IUCN 2025) core source_claim,(van Veen & Wilson 2017)_EXCLUDE_1_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyclura collei,1,(van Veen & Wilson 2017),1,Not relevant,Inaccessible,"",no,2020
Cyclura collei Web of Science_Systematic external review,(Kumar et al. 2021)_EXCLUDE_1_Opinion claim_NA_NA,Web of Science_Systematic external review,Cyclura collei,1,(Kumar et al. 2021),"",Not relevant,Opinion claim,"",no,2025
Cyclura cornuta (Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cornuta,(Alberts 2000) core source_claim,Cyclura cornuta,1,NOTHING NA Cyclura cornuta,"",Not relevant,No citation given,"",no,1998
Cyclura cornuta (Doherty et al. 2016) core source_claim,(Powell et al. 2000)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Cyclura cornuta,1,(Powell et al. 2000),"",Not relevant,Opinion claim,"",no,2014
Cyclura cornuta (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cornuta,(Doherty et al. 2016) core source_claim,Cyclura cornuta,2,NOTHING NA Cyclura cornuta,"",Not relevant,No citation given,"",no,2014
Cyclura cornuta (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cornuta,(IUCN 2025) core source_claim,Cyclura cornuta,1,NOTHING NA Cyclura cornuta,"",Not relevant,No citation given,"",no,2017
Cyclura cornuta (Medina et al. 2011) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cornuta,(Medina et al. 2011) core source_claim,Cyclura cornuta,2,NOTHING NA Cyclura cornuta,"",Not relevant,No citation given,"",no,2009
Cyclura cychlura (Doherty et al. 2016) core source_claim,(Alberts 2000) core source_EXCLUDE_NA_No claim,(Doherty et al. 2016) core source_claim,Cyclura cychlura,1,(Alberts 2000) core source,,Not relevant,No claim,"",no,2014
Cyclura cychlura (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cychlura,(Doherty et al. 2016) core source_claim,Cyclura cychlura,2,NOTHING NA Cyclura cychlura,"",Not relevant,No citation given,"",no,2014
Cyclura cychlura (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cychlura,(IUCN 2025) core source_claim,Cyclura cychlura,1,NOTHING NA Cyclura cychlura,"",Not relevant,No citation given,"",no,2003
Cyclura cychlura (Medina et al. 2011) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura cychlura,(Medina et al. 2011) core source_claim,Cyclura cychlura,2,NOTHING NA Cyclura cychlura,"",Not relevant,No citation given,"",no,2009
Cyclura lewisi (Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura lewisi,(Alberts 2000) core source_claim,Cyclura lewisi,1,NOTHING NA Cyclura lewisi,"",Not relevant,No citation given,"",no,1998
Cyclura lewisi (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura lewisi,(Doherty et al. 2016) core source_claim,Cyclura lewisi,2,NOTHING NA Cyclura lewisi,"",Not relevant,No citation given,"",no,2014
Cyclura lewisi (IUCN 2025) core source_claim,(Iverson 1978)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Cyclura lewisi,1,(Iverson 1978),"",Not relevant,No claim,"",no,2011
Cyclura lewisi (Medina et al. 2011) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura lewisi,(Medina et al. 2011) core source_claim,Cyclura lewisi,2,NOTHING NA Cyclura lewisi,"",Not relevant,No citation given,"",no,2009
Cyclura onchiopsis (IUCN 2025) core source_claim,(Schwartz & Carey 1977)_EXCLUDE_0_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Cyclura onchiopsis,1,(Schwartz & Carey 1977),"",Not relevant,Opinion claim,"",no,2009
Cyclura pinguis (Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura pinguis,(Alberts 2000) core source_claim,Cyclura pinguis,1,NOTHING NA Cyclura pinguis,"",Not relevant,No citation given,"",no,1998
Cyclura pinguis (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura pinguis,(Doherty et al. 2016) core source_claim,Cyclura pinguis,2,NOTHING NA Cyclura pinguis,"",Not relevant,No citation given,"",no,2014
Cyclura pinguis (IUCN 2025) core source_claim,(Bradley & Gerber 2006)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyclura pinguis,1,(Bradley & Gerber 2006),0,Not relevant,Inaccessible,"",no,2018
Cyclura pinguis (IUCN 2025) core source_claim,Gerber 2000 Unpublished report_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyclura pinguis,1,Gerber 2000 Unpublished report,0,Not relevant,Inaccessible,"",no,2018
Cyclura pinguis (Medina et al. 2011) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura pinguis,(Medina et al. 2011) core source_claim,Cyclura pinguis,2,NOTHING NA Cyclura pinguis,"",Not relevant,No citation given,"",no,2009
Cyclura pinguis Opportunistic_Systematic external review,(Bradley & Gerber 2005)_EXCLUDE_0_Opinion claim_NA_NA,Opportunistic_Systematic external review,Cyclura pinguis,1,(Bradley & Gerber 2005),"",Not relevant,Opinion claim,"",no,2025
Cyclura ricordii (Alberts 2000) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura ricordii,(Alberts 2000) core source_claim,Cyclura ricordii,1,NOTHING NA Cyclura ricordii,"",Not relevant,No citation given,"",no,1998
Cyclura ricordii (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyclura ricordii,(Doherty et al. 2016) core source_claim,Cyclura ricordii,2,NOTHING NA Cyclura ricordii,"",Not relevant,No citation given,"",no,2014
Cyclura ricordii (IUCN 2025) core source_claim,(De La Rosa & Carreras De León 2016)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyclura ricordii,1,(De La Rosa & Carreras De León 2016),0,Not relevant,Inaccessible,"",no,2017
Cyclura ricordii (IUCN 2025) core source_claim,(Rupp et al. 2008)_EXCLUDE_0_No claim_NA_NA,(IUCN 2025) core source_claim,Cyclura ricordii,1,(Rupp et al. 2008),"",Not relevant,No claim,"",no,2017
Cyclura stejnegeri (Alberts 2000) core source_claim,(Moreno 1995)_EXCLUDE_0_Inaccessible_NA_NA,(Alberts 2000) core source_claim,Cyclura stejnegeri,1,(Moreno 1995),0,Not relevant,Inaccessible,"",no,1998
Cyclura stejnegeri (Doherty et al. 2016) core source_claim,(Moreno 1995)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Cyclura stejnegeri,2,(Moreno 1995),0,Not relevant,Inaccessible,"",no,2014
Cyclura stejnegeri (IUCN 2025) core source_claim,(Pérez-Buitrago & Sabat 2007)_INCLUDE_NA_Predation in support_no_no,(IUCN 2025) core source_claim,Cyclura stejnegeri,1,(Pérez-Buitrago & Sabat 2007),"",Yes,Predation in support without data,no,no,2018
Cylindrophis isolepis (IUCN 2025) core source_claim,A.A.T. Amarasinghe pers. comm. 2019_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cylindrophis isolepis,1,A.A.T. Amarasinghe pers. comm. 2019,0,Not relevant,Inaccessible,"",no,2018
Cyrtodactylus khelangensis (IUCN 2025) core source_claim,M. Sumontha pers. comm. 2017_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Cyrtodactylus khelangensis,1,M. Sumontha pers. comm. 2017,0,Not relevant,Inaccessible,"",no,2016
Cyrtodactylus sadleiri (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus sadleiri,(IUCN 2025) core source_claim,Cyrtodactylus sadleiri,1,NOTHING NA Cyrtodactylus sadleiri,"",Not relevant,No citation given,"",no,2016
Cyrtodactylus soba (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus soba,(IUCN 2025) core source_claim,Cyrtodactylus soba,1,NOTHING NA Cyrtodactylus soba,"",Not relevant,No citation given,"",no,2018
Cyrtodactylus thirakhupti (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus thirakhupti,(IUCN 2025) core source_claim,Cyrtodactylus thirakhupti,1,NOTHING NA Cyrtodactylus thirakhupti,"",Not relevant,No citation given,"",no,2016
Cyrtodactylus yakhuna (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Cyrtodactylus yakhuna,(IUCN 2025) core source_claim,Cyrtodactylus yakhuna,1,NOTHING NA Cyrtodactylus yakhuna,"",Not relevant,No citation given,"",no,2018
Dasia haliana (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasia haliana,(IUCN 2025) core source_claim,Dasia haliana,1,NOTHING NA Dasia haliana,"",Not relevant,No citation given,"",no,2018
Dasycercus cristicauda (Dickman 1996b) core source_claim,(Baynes 1990)_EXCLUDE_0_No claim_NA_NA,(Dickman 1996b) core source_claim,Dasycercus cristicauda,1,(Baynes 1990),"",Not relevant,No claim,"",no,1994
Dasycercus cristicauda (IUCN 2025) core source_claim,(Pedler et al. 2016)_INCLUDE_NA_Population in support_yes_no,(IUCN 2025) core source_claim,Dasycercus cristicauda,1,(Pedler et al. 2016),"",Yes,Population in support with data,yes,no,2013
Dasycercus cristicauda (Medina et al. 2011) core source_claim,(Baynes 1990)_EXCLUDE_0_No claim_NA_NA,(Medina et al. 2011) core source_claim,Dasycercus cristicauda,2,(Baynes 1990),"",Not relevant,No claim,"",no,2009
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Doherty et al. 2015)_INCLUDE_NA_Population in support_yes_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Doherty et al. 2015),"",Yes,Population in support with data,yes,no,2022
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Doherty et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Doherty et al. 2015),"",Yes,Predation in support without data,no,no,2022
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Mahon 1999)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Mahon 1999),"",Yes,Predation in support without data,no,no,2022
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Paltridge 2002)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Paltridge 2002),"",Yes,Predation in support without data,no,no,2022
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Paltridge 2005)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Paltridge 2005),"",Yes,Predation in support without data,no,no,2022
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Pedler et al. 2016)_INCLUDE_NA_Population in support_yes_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Pedler et al. 2016),"",Yes,Population in support with data,yes,no,2022
Dasycercus cristicauda (Wallach & Lundgren 2025)_external review without claim,(Vernes et al. 2021b)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasycercus cristicauda,1,(Vernes et al. 2021b),"",Yes,Predation in support without data,no,no,2022
Dasycercus cristicauda (Woinarski et al. 2014) core source_claim,(Pavey et al. 2012)_EXCLUDE_1_Opinion claim_NA_NA,(Woinarski et al. 2014) core source_claim,Dasycercus cristicauda,1,(Pavey et al. 2012),"",Not relevant,Opinion claim,"",no,2013
Dasycercus cristicauda Web of Science_Systematic external review,(Dickman et al. 2001)_INCLUDE_NA_Population not in support_yes_no,Web of Science_Systematic external review,Dasycercus cristicauda,1,(Dickman et al. 2001),"",No,Population not in support with data,yes,no,2025
Dasycercus cristicauda Web of Science_Systematic external review,(Paltridge 2002)_INCLUDE_NA_Predation in support_no_no,Web of Science_Systematic external review,Dasycercus cristicauda,1,(Paltridge 2002),"",Yes,Predation in support without data,no,no,2025
Dasycercus cristicauda Web of Science_Systematic external review,(Pedler et al. 2016)_INCLUDE_NA_Population in support_yes_no,Web of Science_Systematic external review,Dasycercus cristicauda,1,(Pedler et al. 2016),"",Yes,Population in support with data,yes,no,2025
Dasycercus cristicauda Web of Science_Systematic external review,(Vernes et al. 2021b)_INCLUDE_NA_Predation in support_no_no,Web of Science_Systematic external review,Dasycercus cristicauda,1,(Vernes et al. 2021b),"",Yes,Predation in support without data,no,no,2025
Dasyornis brachypterus (Doherty et al. 2016) core source_claim,(Hartley & Kikkawa 1994)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Dasyornis brachypterus,2,(Hartley & Kikkawa 1994),0,Not relevant,Inaccessible,"",no,2014
Dasyornis brachypterus (Doherty et al. 2016) core source_claim,(Mitchell 2001)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Dasyornis brachypterus,2,(Mitchell 2001),0,Not relevant,Inaccessible,"",no,2014
Dasyornis brachypterus (Garnett & Baker 2021) core source_claim,(Lindenmayer et al. 2009)_EXCLUDE_1_No claim_NA_NA,(Garnett & Baker 2021) core source_claim,Dasyornis brachypterus,1,(Lindenmayer et al. 2009),"",Not relevant,No claim,"",no,2020
Dasyornis brachypterus (Garnett & Baker 2021) core source_claim,(Woinarski et al. 2017)_EXCLUDE_1_Opinion claim_NA_NA,(Garnett & Baker 2021) core source_claim,Dasyornis brachypterus,1,(Woinarski et al. 2017),"",Not relevant,Opinion claim,"",no,2020
Dasyornis brachypterus (Garnett & Baker 2021) core source_claim,N Dexter unpublished_EXCLUDE_0_Inaccessible_NA_NA,(Garnett & Baker 2021) core source_claim,Dasyornis brachypterus,1,N Dexter unpublished,0,Not relevant,Inaccessible,"",no,2020
Dasyornis brachypterus (Garnett et al. 2011) core source_claim,(Lindenmayer et al. 2009)_EXCLUDE_1_No claim_NA_NA,(Garnett et al. 2011) core source_claim,Dasyornis brachypterus,1,(Lindenmayer et al. 2009),"",Not relevant,No claim,"",no,2010
Dasyornis brachypterus (IUCN 2025) core source_claim,(Woinarski et al. 2017)_EXCLUDE_1_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Dasyornis brachypterus,1,(Woinarski et al. 2017),"",Not relevant,Opinion claim,"",no,2021
Dasyornis longirostris (Doherty et al. 2016) core source_claim,(Burbidge et al. 2010)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Dasyornis longirostris,1,(Burbidge et al. 2010),0,Not relevant,Inaccessible,"",no,2014
Dasyornis longirostris (Doherty et al. 2016) core source_claim,(Gilfillan et al. 2009)_EXCLUDE_0_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Dasyornis longirostris,2,(Gilfillan et al. 2009),"",Not relevant,Opinion claim,"",no,2014
Dasyornis longirostris (Doherty et al. 2016) core source_claim,(Wildlife 2014)_EXCLUDE_0_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Dasyornis longirostris,1,(Wildlife 2014),"",Not relevant,Opinion claim,"",no,2014
Dasyornis longirostris (Garnett & Baker 2021) core source_claim,(Burbidge et al. 2010)_EXCLUDE_0_Inaccessible_NA_NA,(Garnett & Baker 2021) core source_claim,Dasyornis longirostris,1,(Burbidge et al. 2010),0,Not relevant,Inaccessible,"",no,2020
Dasyornis longirostris (Garnett & Baker 2021) core source_claim,(Gilfillan et al. 2009)_EXCLUDE_0_Opinion claim_NA_NA,(Garnett & Baker 2021) core source_claim,Dasyornis longirostris,1,(Gilfillan et al. 2009),"",Not relevant,Opinion claim,"",no,2020
Dasyornis longirostris (Garnett et al. 2011) core source_claim,(Burbidge et al. 2010)_EXCLUDE_0_Inaccessible_NA_NA,(Garnett et al. 2011) core source_claim,Dasyornis longirostris,1,(Burbidge et al. 2010),0,Not relevant,Inaccessible,"",no,2010
Dasyornis longirostris (Garnett et al. 2011) core source_claim,(Gilfillan et al. 2009)_EXCLUDE_0_Opinion claim_NA_NA,(Garnett et al. 2011) core source_claim,Dasyornis longirostris,1,(Gilfillan et al. 2009),"",Not relevant,Opinion claim,"",no,2010
Dasyornis longirostris (IUCN 2025) core source_claim,(Stattersfield 1998)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Dasyornis longirostris,1,(Stattersfield 1998),0,Not relevant,Inaccessible,"",no,2021
Dasyurus geoffroii (Dickman 1996b) core source_claim,(Serena et al. 1991)_EXCLUDE_0_Opinion claim_NA_NA,(Dickman 1996b) core source_claim,Dasyurus geoffroii,1,(Serena et al. 1991),"",Not relevant,Opinion claim,"",no,1994
Dasyurus geoffroii (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasyurus geoffroii,(IUCN 2025) core source_claim,Dasyurus geoffroii,1,NOTHING NA Dasyurus geoffroii,"",Not relevant,No citation given,"",no,2011
Dasyurus geoffroii (Medina et al. 2011) core source_claim,(Serena et al. 1991)_EXCLUDE_0_Opinion claim_NA_NA,(Medina et al. 2011) core source_claim,Dasyurus geoffroii,2,(Serena et al. 1991),"",Not relevant,Opinion claim,"",no,2009
Dasyurus geoffroii (Radford et al. 2018) core source_claim,(Burbidge & Manly 2002)_EXCLUDE_1_Does not test claim_NA_NA,(Radford et al. 2018) core source_claim,Dasyurus geoffroii,1,(Burbidge & Manly 2002),"",Not relevant,Does not test claim,"",no,2016
Dasyurus geoffroii (Radford et al. 2018) core source_claim,(Burbidge 2001)_EXCLUDE_0_Inaccessible_NA_NA,(Radford et al. 2018) core source_claim,Dasyurus geoffroii,1,(Burbidge 2001),0,Not relevant,Inaccessible,"",no,2016
Dasyurus geoffroii (Radford et al. 2018) core source_claim,(McKenzie 1984)_EXCLUDE_0_Inaccessible_NA_NA,(Radford et al. 2018) core source_claim,Dasyurus geoffroii,2,(McKenzie 1984),0,Not relevant,Inaccessible,"",no,2016
Dasyurus geoffroii (Radford et al. 2018) core source_claim,(Moseby et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Radford et al. 2018) core source_claim,Dasyurus geoffroii,1,(Moseby et al. 2015),"",Yes,Predation in support without data,no,no,2016
Dasyurus geoffroii (Radford et al. 2018) core source_claim,(Serena et al. 1991)_EXCLUDE_0_Opinion claim_NA_NA,(Radford et al. 2018) core source_claim,Dasyurus geoffroii,2,(Serena et al. 1991),"",Not relevant,Opinion claim,"",no,2016
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Comer et al. 2020)_INCLUDE_NA_Population not in support_yes_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Comer et al. 2020),"",No,Population not in support with data,yes,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Doherty et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Doherty et al. 2015),"",Yes,Predation in support without data,no,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Glen et al. 2010)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Glen et al. 2010),"",Yes,Predation in support without data,no,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Moseby et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Moseby et al. 2015),"",Yes,Predation in support without data,no,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Moseby et al. 2021a)_INCLUDE_NA_Population not in support_yes_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Moseby et al. 2021a),"",No,Population not in support with data,yes,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Moseby et al. 2021a)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Moseby et al. 2021a),"",Yes,Predation in support without data,no,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Moseby et al. 2021b)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Moseby et al. 2021b),"",Yes,Predation in support without data,no,no,2022
Dasyurus geoffroii (Wallach & Lundgren 2025)_external review without claim,(Moseby et al. 2022)_INCLUDE_NA_Predation in support_no_no,(Wallach & Lundgren 2025)_external review without claim,Dasyurus geoffroii,1,(Moseby et al. 2022),"",Yes,Predation in support without data,no,no,2022
