key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Alopochen mauritiana (Hume 2017) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Alopochen mauritiana,(Hume 2017) core source_claim,Alopochen mauritiana,1,NOTHING NA Alopochen mauritiana,"",Not relevant,No citation given,"",no,2016
Alopochen mauritiana (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Alopochen mauritiana,(IUCN 2025) core source_claim,Alopochen mauritiana,2,NOTHING NA Alopochen mauritiana,"",Not relevant,No citation given,"",no,2022
Alsophis rijgersmaei (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Alsophis rijgersmaei,(IUCN 2025) core source_claim,Alsophis rijgersmaei,1,NOTHING NA Alsophis rijgersmaei,"",Not relevant,No citation given,"",no,2014
Alsophis rufiventris (Doherty et al. 2016) core source_claim,(Sajdak & Henderson 1991)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Alsophis rufiventris,1,(Sajdak & Henderson 1991),"",Not relevant,Opinion claim,"",no,2014
Alsophis rufiventris (Doherty et al. 2016) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Alsophis rufiventris,(Doherty et al. 2016) core source_claim,Alsophis rufiventris,2,NOTHING NA Alsophis rufiventris,"",Not relevant,No citation given,"",no,2014
Alsophis rufiventris (IUCN 2025) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Alsophis rufiventris,(IUCN 2025) core source_claim,Alsophis rufiventris,1,NOTHING NA Alsophis rufiventris,"",Not relevant,No citation given,"",no,2014
Amazona barbadensis (Doherty et al. 2016) core source_claim,(Rodríguez-Ferraro & Sanz 2007)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Amazona barbadensis,1,(Rodríguez-Ferraro & Sanz 2007),"",Yes,Predation in support without data,no,no,2014
Amazona barbadensis (IUCN 2025) core source_claim,Provita in litt. 2020_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Amazona barbadensis,1,Provita in litt. 2020,0,Not relevant,Inaccessible,"",no,2020
Amazona barbadensis Web of Science_Systematic external review,(Bisbal 2008)_EXCLUDE_1_Inaccessible_NA_NA,Web of Science_Systematic external review,Amazona barbadensis,1,(Bisbal 2008),1,Not relevant,Inaccessible,"",no,2025
Amazona vittata (Doherty et al. 2016) core source_claim,(Engeman et al. 2006)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Amazona vittata,1,(Engeman et al. 2006),"",Not relevant,Opinion claim,"",no,2014
