scientificName,value,pub_year,Note
Bettongia lesueur,(Dickman 2011),2011,
Dasycercus cristicauda,(Dickman et al. 2001),2001,
Diomedea exulans,(Dilley et al. 2016),2016,
Procellaria aequinoctialis,(Dilley et al. 2018),2018,
Procellaria cinerea,(Dilley et al. 2018),2018,
Procellaria aequinoctialis,(Dilley et al. 2017),2017,
Pterodroma baraui,(Dumont et al. 2010),2010,
Isoodon auratus,(Dunlop et al. 2021),2021,
Eliomys quercinus,(Durette-Desset & Pesson 1987),1987,
Zosterops albogularis,(Dutson 2013),2013,
Petroica multicolor,(Dutson 2013),2013,
Puffinus yelkouan,(Bonnaud et al. 2010b),2010,
Puffinus yelkouan,(Bonnaud et al. 2009),2009,
Liopholis kintorei,(Eifler & Eifler 2025),2025,
Amazona vittata,(Engeman et al. 2006),2006,
Corvus kubaryi,(Faegre et al. 2020),2020,
Eliomys quercinus,(Famira-Parcsetich et al. 2024),2024,
Bettongia gaimardi,(Fancourt 2014),2014,
Bettongia penicillata,(Fancourt 2014),2014,
Dasyurus viverrinus,(Fancourt 2014),2014,
Dasyurus viverrinus,(Fancourt 2016),2016,
Dasyurus viverrinus,(Fancourt et al. 2015),2015,
Eupleres goudotii,(Farris et al. 2015a),2015,
Salanoia concolor,(Farris et al. 2015a),2015,
Cryptoprocta ferox,(Farris et al. 2015b),2015,
Fossa fossana,(Farris et al. 2015b),2015,
Salanoia concolor,(Farris et al. 2016),2016,
Cryptoprocta ferox,(Farris et al. 2017),2017,
Eupleres goudotii,(Farris et al. 2017),2017,
Salanoia concolor,(Farris et al. 2017),2017,
Pterodroma baraui,(Faulquier et al. 2009),2009,
Ardenna creatopus,(Felis et al. 2019),2019,
Bettongia penicillata,(Fernandes et al. 2023),2023,
Dasyurus geoffroii,(Fernandes et al. 2023),2023,
Myrmecobius fasciatus,(Fernandes et al. 2023),2023,
Bettongia penicillata,(Finlayson et al. 2010),2010,
Varanus komodoensis,(Fleming & Frahm 1997),1997,
Myotis vivesi,(Herrera M. et al. 2019),2019,
Litoria raniformis,(Flux 2007),2007,
Aphelocoma coerulescens,(Fokidis et al. 2009),2009,
Apteryx mantelli,(French et al. 2020),2020,
Dasyurus maculatus,(Friend et al. 2020),2020,
Phascogale calura,(Friend et al. 2020),2020,
Hypotaenidia okinawae,(Fujihara & Inoue-Murayama 2024),2024,
Cyanoramphus auriceps,(Funk 1996),1996,
Bettongia gaimardi,(Gardiner et al. 2018),2018,
Setonix brachyurus,(Gaschk & Clemente 2022),2022,
Bavayia septuiclavis,(Gérard et al. 2016),2016,
Cryptoprocta ferox,(Gerber et al. 2012),2012,
Fossa fossana,(Gerber et al. 2012),2012,
Pomarea whitneyi,(Ghestemme et al. 2019),2019,
Anas aucklandica,(Gillies et al. 2003),2003,
Anas chlorotis,(Gillies et al. 2003),2003,
Apteryx australis,(Gillies et al. 2003),2003,
Apteryx australis,(Gillies et al. 2003),2003,
Apteryx mantelli,(Gillies et al. 2003),2003,
Phoebastria immutabilis,(Gilmour et al. 2022),2022,
Pterodroma baraui,(Gineste et al. 2017),2017,
Dasyurus maculatus,(Glen & Dickman 2008),2008,
Dasyurus maculatus,(Glen & Dickman 2008),2008,
Dasyurus geoffroii,(Glen et al. 2010),2010,
Dasyurus geoffroii,(Glen et al. 2009),2009,
Dasyurus maculatus,(Glen et al. 2007),2007,
Dasyurus maculatus,(Glen et al. 2011),2011,
Dasyurus maculatus,(Goldingay 2024),2024,
Potorous tridactylus,(Goldingay 2024),2024,
Aphrastura masafuerae,(Gonzalez 2014),2014,
Pterodroma feae,(González-Solís et al. 2024),2024,
Urocyon littoralis,(Capitolo et al. 2012),2012,
Sternula nereis,(Greenwell et al. 2019),2019,
Charadrius bicinctus,(Gunby et al. 2025),2025,
Aphrastura masafuerae,(Hahn et al. 2010),2010,
Dasyurus viverrinus,(Haines 1946),1946,
Urocyon littoralis,(Hanson et al. 2015),2015,
Bettongia penicillata,(Hardman et al. 2016),2016,
Bettongia penicillata,(Harrison et al. 2025),2025,
Dasyurus geoffroii,(Harrison et al. 2025),2025,
Bettongia penicillata,(Harrison et al. 2023),2023,
Myrmecobius fasciatus,(Hayward et al. 2015),2015,
Setonix brachyurus,(Hearn et al. 1998),1998,
Mabuya cochonae,(Hedges & Conn 2012),2012,
Mabuya montserratae,(Hedges & Conn 2012),2012,
Spondylurus anegadae,(Hedges & Conn 2012),2012,
Spondylurus caicosae,(Hedges & Conn 2012),2012,
Spondylurus fulgidus,(Hedges & Conn 2012),2012,
Spondylurus monae,(Hedges & Conn 2012),2012,
Dasyurus hallucatus,(Heiniger et al. 2018),2018,
Conilurus penicillatus,(Heiniger et al. 2020),2020,
Macrotis lagotis,(Helmstedt et al. 2014),2014,
Gallotia bravoana,(Hernandez-Divers et al. 2003),2003,
Dasyurus geoffroii,(Hetherington et al. 2007),2007,
Dasyurus maculatus,(Hocking & Guiler 1983),1983,
Dasyurus viverrinus,(Hocking & Guiler 1983),1983,
Mastacomys fuscus,(Hocking & Guiler 1983),1983,
Ornithorhynchus anatinus,(Hocking & Guiler 1983),1983,
Dasyurus viverrinus,(Hollings et al. 2014),2014,
Saxicola dacotiae,(Illera & Díaz 2006),2006,
Dasyurus hallucatus,(Indigo et al. 2019),2019,
Scolopax mira,(Ishida et al. 2015),2015,
Pterodroma phaeopygia,(Cruz & Cruz 1987),1987,
Pterodroma cahow,(Madeiros et al. 2012),2012,
Mimus graysoni,(Jehl & Parkes 1983),1983,
Zenaida graysoni,(Jehl & Parkes 1983),1983,
Varanus komodoensis,(Jessop et al. In prep),"",
Bettongia gaimardi,(Jones et al. 2021),2021,
Dasyurus maculatus,(Jones et al. 2021),2021,
Dasyurus viverrinus,(Jones et al. 2004),2004,
Diomedea dabbenena,(Jones & Ryan 2010),2010,
Diomedea exulans,(Jones & Ryan 2010),2010,
Phoebetria fusca,(Jones & Ryan 2010),2010,
Pseudobulweria aterrima,(Juhasz et al. 2022a),2022,
Pterodroma baraui,(Juhasz et al. 2022a),2022,
Pseudobulweria aterrima,(Juhasz et al. 2022b),2022,
Bettongia penicillata,(Kaewmongkol et al. 2011),2011,
Perameles bougainville,(Kaewmongkol et al. 2011),2011,
Pezoporus occidentalis,(Kearney et al. 2022),2022,
Puffinus opisthomelas,(Keitt et al. 2002),2002,
Apteryx mantelli,(King 2023),2023,
Megadyptes antipodes,(King et al. 2012),2012,
Megadyptes antipodes,(King et al. 2012),2012,
Cryptoprocta ferox,(Kotschwar Logan et al. 2015),2015,
Cyclura collei,(Kumar et al. 2021),2021,
Ctenosaura bakeri,(Kutschera & Kleinhans 2013),2013,
Pezoporus occidentalis,(Kutt et al. 2023),2023,
Pterodroma externa,(Brooke 1987b),1987,
Pterodroma longirostris,(Brooke 1987b),1987,
Corvus kubaryi,(Zarones et al. 2015),2015,
Cryptoprocta ferox,(LaFleur et al. 2014),2014,
Zyzomys pedunculatus,(Legge et al. 2018),2018,
Podarcis lilfordi,(Li et al. 2014),2014,
Macrotis lagotis,(Lohr et al. 2022),2022,
Macrotis lagotis,(Lollback et al. 2018),2018,
Amblyrhynchus cristatus,(MacLeod et al. 2020),2020,
Dasyurus maculatus,(Maga & Beck 2017),2017,
Anas wyvilliana,(Malachowski et al. 2022),2022,
Dasyurus maculatus,(Mallick et al. 2016),2016,
Dasyurus hallucatus,(Marks et al. 2006),2006,
Pseudomys australis,(Marks et al. 2006),2006,
Bettongia penicillata,(Marlow et al. 2015b),2015,
Mimus graysoni,(Martınez-Gomez et al. 2001),2001,
Zenaida graysoni,(Martınez-Gomez et al. 2001),2001,
Puffinus auricularis,(Martınez-Gomez & Jacobsen 2004),2004,
Megadyptes antipodes,(Massaro & Blair 2003),2003,
Crocidura canariensis,(Masseti 2010),2010,
Procellaria aequinoctialis,(Matias & Catry 2008),2008,
Dasyurus geoffroii,(Matthews et al. 2013),2013,
Dasyurus maculatus,(Matthews et al. 2013),2013,
Petrogale lateralis,(Matthews et al. 2013),2013,
Hydrobates macrodactylus,(McChesney & Tershy 1998),1998,
Ptychoramphus aleuticus,(McChesney & Tershy 1998),1998,
Puffinus opisthomelas,(McChesney & Tershy 1998),1998,
Zyzomys pedunculatus,(McDonald et al. 2016),2016,
Dasyurus maculatus,(McEvoy et al. 2008),2008,
Potorous tridactylus,(McHugh et al. 2022),2022,
Potorous tridactylus,(McHugh et al. 2019),2019,
Bettongia tropica,(McHugh et al. 2020),2020,
Potorous tridactylus,(McHugh et al. 2020),2020,
Bettongia lesueur,(McKay et al. 2022),2022,
Apteryx australis,(McLennan & Potter 1992),1992,
Apteryx mantelli,(McLennan & Potter 1992),1992,
Apteryx haastii,(McLennan et al. 1996),1996,
Apteryx mantelli,(McLennan et al. 1996),1996,
Gallotia intermedia,(Medina & Nogales 2009),2009,
Saxicola dacotiae,(Medina & Nogales 2009),2009,
Gallotia simonyi,(Medina & Nogales 2009),2009,
Dasyurus maculatus,(Mella et al. 2010),2010,
Dasyurus maculatus,(Mella et al. 2016),2016,
Potorous tridactylus,(Menon et al. 2025),2025,
Cryptoprocta ferox,(Merson et al. 2020),2020,
Cryptoprocta ferox,(Merson et al. 2019),2019,
Sminthopsis douglasi,(Mifsud & Woolley 2012),2012,
Pterodroma feae,(Militao et al. 2017),2017,
Potorous tridactylus,(Miritis et al. 2020),2020,
Potorous tridactylus,(Miritis et al. 2020),2020,
Pampusana salamonis,(Mittermeier et al. 2018),2018,
Pareudiastes silvestris,(Mittermeier et al. 2018),2018,
Megadyptes antipodes,(Moller & Alterio 1999),1999,
Liopholis kintorei,(Moore et al. 2018),2018,
Macrotis lagotis,(Moore et al. 2024),2024,
Dasyurus hallucatus,(Moore et al. 2020),2020,
Haematopus chathamensis,(Moore & Reid 2009),2009,
Varanus komodoensis,(Moreno et al. 2008),2008,
Dasyurus hallucatus,(Moro et al. 2020),2020,
Dasyurus hallucatus,(Moseby et al. 2021a),2021,
Bettongia lesueur,(Moseby et al. 2023),2023,
Bettongia lesueur,(Moseby et al. 2024),2024,
Macrotis lagotis,(Moseby et al. 2012),2012,
Bettongia lesueur,(Moseby et al. 2009),2009,
Dasyurus geoffroii,(Moseby et al. 2021b),2021,
Dasyurus geoffroii,(Moseby et al. 2022),2022,
Dasyurus geoffroii,(Moseby et al. 2022),2022,
Dasyurus geoffroii,(Moseby et al. 2022),2022,
Bettongia lesueur,(Moseby et al. 2020),2020,
Dasyurus geoffroii,(Moseby et al. 2015),2015,
Dasyurus viverrinus,(Munday & Mason 1980),1980,
Dasyurus maculatus,(Munday et al. 1978),1978,
Pezoporus occidentalis,(Murphy et al. 2022),2022,
Calonectris leucomelas,(Nagata et al. 2022),2022,
Conilurus penicillatus,(Neave et al. 2024),2024,
Bettongia penicillata,(Northover et al. 2024),2024,
Dasyurus geoffroii,(Northover et al. 2024),2024,
Phascogale tapoatafa,(Northover et al. 2024),2024,
Charadrius sanctaehelenae,(Oppel et al. 2014),2014,
Puffinus mauretanicus,(Oro et al. 2004),2004,
Anas chlorotis,(O’Donnell et al. 2015),2015,
Botaurus poiciloptilus,(O’Donnell et al. 2015),2015,
Loxioides bailleui,(Banko et al. 2002b),2002,
Rhynochetos jubatus,(Palmas et al. 2020),2020,
Dasyurus hallucatus,(Palmer et al. 2021),2021,
Dasycercus cristicauda,(Paltridge 2002),2002,
Macrotis lagotis,(Paltridge 2002),2002,
Dasyurus maculatus,(Paton et al. 2024),2024,
Elanus scriptus,(Pavey et al. 2008b),2008,
Pseudomys australis,(Pavey et al. 2008b),2008,
Dasyurus hallucatus,(Peacock & Abbott 2014),2014,
Dasyurus viverrinus,(Peacock & Abbott 2014),2014,
Dasyurus viverrinus,(Peacock & Abbott 2014),2014,
Dasyurus viverrinus,(Peacock & Abbott 2013),2013,
Dasycercus cristicauda,(Pedler et al. 2016),2016,
Notomys fuscus,(Pedler et al. 2016),2016,
Pseudomys australis,(Pedler et al. 2016),2016,
Isoodon auratus,(Pedler et al. 2018),2018,
Leporillus conditor,(Pedler et al. 2018),2018,
Urocyon littoralis,(Phillips & Winchell 2011),2011,
Pterodroma phaeopygia,(Phillips et al. 2012),2012,
Urocyon littoralis,(Phillips et al. 2007),2007,
Hypotaenidia sylvestris,(Portelli & Carlile 2019),2019,
Apteryx mantelli,(Potter et al. 2010),2010,
Strigops habroptilus,(Powlesland et al. 1995),1995,
Leipoa ocellata,(Priddel & Wheeler 2004),2004,
Pseudomys novaehollandiae,(Pye 1991),1991,
Vini peruviana,(Russell et al. 2025),2025,
Isoodon auratus,(Radford 2012),2012,
Pterodroma alba,(Raine et al. 2020),2020,
Pterodroma sandwichensis,(Raine et al. 2020),2020,
Apteryx mantelli,(Ramón‐Laca et al. 2013),2013,
Megadyptes antipodes,(Ratz 2000),2000,
Dasyurus geoffroii,(Read et al. 2019b),2019,
Leipoa ocellata,(Read et al. 2019b),2019,
Macrotis lagotis,(Read et al. 2019b),2019,
Petrogale lateralis,(Read et al. 2019a),2019,
Petrogale lateralis,(Read et al. 2019a),2019,
Isoodon auratus,(Read et al. 2023),2023,
Potorous tridactylus,(Rees et al. 2024),2024,
Pterodroma externa,(Reyes-Arriagada et al. 2012),2012,
Pterodroma longirostris,(Reyes-Arriagada et al. 2012),2012,
Calyptophilus tertius,(Rimmer et al. 2008),2008,
Apteryx australis,(Robertson & Colbourne 2022),2022,
Apteryx mantelli,(Robertson & Colbourne 2022),2022,
Apteryx mantelli,(Robertson et al. 2011),2011,
Macrotis lagotis,(Ross et al. 2019a),2019,
Bettongia gaimardi,(Ross et al. 2019b),2019,
Onychogalea fraenata,(Ross et al. 2019b),2019,
Charadrius bicinctus,(Sanders & Maloney 2002),2002,
Himantopus novaezelandiae,(Sanders & Maloney 2002),2002,
Bettongia lesueur,(Saxon-Mills et al. 2018),2018,
Megadyptes antipodes,(Schaefer & Colombelli‐Négrel 2021),2021,
Procellaria aequinoctialis,(Schramm 1986),1986,
Mystacina tuberculata,(Scrimgeour et al. 2012),2012,
Megadyptes antipodes,(Seddon et al. 2013),2013,
Calonectris edwardsii,(Semedo et al. 2021),2021,
Pterodroma feae,(Semedo et al. 2021),2021,
Pterodroma madeira,(Semedo et al. 2021),2021,
Diplothrix legata,(Shionosaki et al. 2015),2015,
Pentalagus furnessi,(Shionosaki et al. 2015),2015,
Tokudaia osimensis,(Shionosaki et al. 2015),2015,
Isoodon auratus,(Short & Turner 1994),1994,
Bettongia lesueur,(Short 2016),2016,
Perameles bougainville,(Short 2016),2016,
Leporillus conditor,(Short et al. 2019),2019,
Bettongia lesueur,(Short et al. 2002),2002,
Leporillus conditor,(Short et al. 2018),2018,
Larosterna inca,(Simeone et al. 2003),2003,
Pelecanoides garnotii,(Simeone et al. 2003),2003,
Spheniscus humboldti,(Simeone et al. 2003),2003,
Mastacomys fuscus,(Smith & Quin 1996),1996,
Pseudomys shortridgei,(Smith & Quin 1996),1996,
Pseudomys novaehollandiae,(Smith et al. 2023),2023,
Isoodon auratus,(Southgate et al. 1996),1996,
Petrogale lateralis,(Spurr & Anderson 2004),2004,
Petrogale penicillata,(Spurr & Anderson 2004),2004,
Chlidonias albostriatus,(Steffens et al. 2012),2012,
Macrotis lagotis,(Steindler & Letnic 2021),2021,
Macrotis lagotis,(Steindler et al. 2018),2018,
Bettongia lesueur,(Steindler et al. 2020),2020,
Bettongia lesueur,(Stepkovitch et al. 2024),2024,
Dasyurus geoffroii,(Stepkovitch et al. 2024),2024,
Plestiodon longirostris,(Stroud et al. 2017),2017,
Bettongia lesueur,(Tay et al. 2021),2021,
Coccyzus ferrugineus,(Tenorio et al. 2020),2020,
Eurydactylodes vieillardi,(Thibault et al. 2017),2017,
Kanakysaurus viviparus,(Thibault et al. 2017),2017,
Marmorosphax taom,(Thibault et al. 2017),2017,
Dasyurus geoffroii,(Thompson et al. 2019),2019,
Oligosoma grande,(Tocher 2006),2006,
Oligosoma otagense,(Tocher 2006),2006,
Xeromys myoides,(Traill et al. 2011),2011,
Puffinus yelkouan,(Tranchant et al. 2003),2003,
Dasyurus hallucatus,(Trewella et al. 2023),2023,
Plestiodon longirostris,(Turner et al. 2023),2023,
Dasyurus geoffroii,(Van der Weyde et al. 2023),2023,
Macrotis lagotis,(Van der Weyde et al. 2023),2023,
Acrocephalus aequinoctialis,(VanderWerf et al. 2016),2016,
Spheniscus demersus,(Vanstreels et al. 2019),2019,
Coenocorypha aucklandica,(Veitch 2001),2001,
Coenocorypha barrierensis,(Veitch 2001),2001,
Procellaria parkinsoni,(Veitch 2001),2001,
Pterodroma cookii,(Veitch 2001),2001,
Caloprymnus campestris,(Vernes et al. 2021a),2021,
Macrotis lagotis,(Vernes et al. 2021a),2021,
Macrotis leucura,(Vernes et al. 2021a),2021,
Notomys cervinus,(Vernes et al. 2021a),2021,
Notomys fuscus,(Vernes et al. 2021a),2021,
Notomys macrotis,(Vernes et al. 2021a),2021,
Pseudomys australis,(Vernes et al. 2021a),2021,
Dasycercus cristicauda,(Vernes et al. 2021b),2021,
Notomys fuscus,(Vernes et al. 2021b),2021,
Dasyurus geoffroii,(Wayne et al. 2017b),2017,
Phascogale tapoatafa,(Wayne et al. 2017b),2017,
Pseudocheirus occidentalis,(Wayne et al. 2017b),2017,
Pseudocheirus occidentalis,(Wayne et al. 2005),2005,
Pseudomys novaehollandiae,(Wayne et al. 2017a),2017,
Bettongia lesueur,(Whitehead et al. 2018),2018,
Bettongia tropica,(Whitehead et al. 2018),2018,
Synthliboramphus scrippsi,(Whitworth et al. 2020),2020,
Synthliboramphus craveri,(Whitworth et al. 2021),2021,
Synthliboramphus hypoleucus,(Whitworth et al. 2021),2021,
Synthliboramphus scrippsi,(Whitworth et al. 2018),2018,
Bettongia penicillata,(Woinarski et al. 2015),2015,
Conilurus penicillatus,(Woinarski et al. 2011a),2011,
Dasyurus hallucatus,(Woinarski et al. 2011a),2011,
Phascogale pirata,(Woinarski et al. 2011a),2011,
Phascogale pirata,(Woinarski et al. 2011a),2011,
Branta sandvicensis,(Work et al. 2015),2015,
Corvus hawaiiensis,(Work et al. 2000),2000,
Branta sandvicensis,(Work et al. 2016),2016,
Spheniscus demersus,(Yabsley et al. 2017),2017,
Sternula lorata,(Zavalaga et al. 2009),2009,
Pterodroma madeira,(Zino et al. 2001),2001,
Dasyurus geoffroii,(de Tores et al. 2011),2011,
Dasyurus maculatus,(de Tores et al. 2011),2011,
Chalinolobus tuberculatus,(Daniel & Williams 1984),1984,
Chalinolobus tuberculatus,(Daniel & Williams 1984),1984,
Mystacina tuberculata,(Daniel & Williams 1984),1984,
Mystacina tuberculata,(Molloy & Daniel 1995),1995,
Pteropus dasymallus,(Vincenot et al. 2017),2017,
Pteropus dasymallus,(Vincenot et al. 2015),2015,
Myotis vivesi,(Vázquez-Domínguez et al. 2004),2004,
Synthliboramphus scrippsi,(Jehl & SI 1975),1975,
Synthliboramphus scrippsi,(Keitt 2005),2005,
Synthliboramphus scrippsi,(McChesney & Tershy 1998),1998,
Synthliboramphus scrippsi,(Van Denburgh 1924),1924,
Lanius ludovicianus,(Gawlik & Bildstein 1990),1990,
Lanius ludovicianus,(Gawlik & Bildstein 1990),1990,
Lanius ludovicianus,(Scott & Morrison 1990),1990,
Procellaria westlandica,(McClellan & Wood 2004),2004,
Chaeropus ecaudatus,(Abbott 2008),2008,
Leporillus apicalis,(Abbott 2008),2008,
Notomys amplus,(Abbott 2008),2008,
Notomys longicaudatus,(Abbott 2008),2008,
Perameles eremiana,(Abbott 2008),2008,
Chaeropus ecaudatus,(Abbott 2002),2002,
Conilurus albipes,(Abbott 2002),2002,
Leporillus apicalis,(Abbott 2002),2002,
Macrotis leucura,(Abbott 2002),2002,
Notomys amplus,(Abbott 2002),2002,
Notomys longicaudatus,(Abbott 2002),2002,
Perameles eremiana,(Abbott 2002),2002,
Pseudomys shortridgei,(Abbott 2002),2002,
Bettongia lesueur,(Burbidge & Manly 2002),2002,
Leporillus conditor,(Burbidge & Manly 2002),2002,
Parantechinus apicalis,(Burbidge & Manly 2002),2002,
Perameles bougainville,(Burbidge & Manly 2002),2002,
Petrogale burbidgei,(Burbidge & Manly 2002),2002,
Pseudomys fieldi,(Burbidge & Manly 2002),2002,
Pseudomys oralis,(Burbidge & McKenzie 1989),1989,
Bettongia anhydra,(Christensen & Burrows 1995),1995,
Bettongia lesueur,(Christensen & Burrows 1995),1995,
Leporillus apicalis,(Copley 1999a),1999,
Pteropus melanotus,D. Algars pers. comm.,.,
Xeromys myoides,(Management 2010),2010,
Conilurus albipes,(Dickman 1993),1993,
Conilurus albipes,(Dickman 1994),1994,
Conilurus albipes,(Dickman et al. 1993),1993,
Dasyurus viverrinus,(Fancourt 2011),2011,
Onychogalea fraenata,(Fisher & Goldizen 2001),2001,
Pseudomys fumeus,(Ford et al. 2003),2003,
Parantechinus apicalis,(Friend 2003),2003,
Dasyurus geoffroii,(Glen et al. 2009),2009,
Onychogalea fraenata,(Horsup & Evans 1993),1993,
Dasyurus hallucatus,J. Augusteyn pes. Comm.,.,
Dasyurus viverrinus,(Jones et al. 2004),2004,
Macrotis lagotis,K. Morris pers. comms.,.,
Pseudomys shortridgei,K. Morris pes. comm.,.,
Sminthopsis psammophila,(Kinnear et al. 2002),2002,
Sminthopsis douglasi,(Kutt 2003),2003,
Sminthopsis douglasi,(Lundie-Jenkins & Payne 2000),2000,
Dasyurus maculatus,M. Jones pers. comm.,.,
Potorous tridactylus,(Martin & Temple-Smith 2012),2012,
Pseudomys fumeus,(Menkhorst 2003),2003,
Pseudomys fumeus,(Menkhorst & Broome 2006),2006,
Burramys parvus,(Menkhorst et al. 2013),2013,
Conilurus albipes,(Menkhorst 2009),2009,
Pseudomys fumeus,Menkhurst et al. 2008,2008,
Sminthopsis douglasi,(Mifsud 1999),1999,
Sminthopsis douglasi,(Mifsud & Woolley 2012),2012,
Pseudomys australis,(Moseby et al. 2009),2009,
Bettongia penicillata,"N. Marlow, P. de Tores and K. Morris et al., pers. comm.",.,
Antechinus bellus,NOTHING,"",
Bettongia tropica,NOTHING,"",
Conilurus penicillatus,NOTHING,"",
Crocidura trichura,NOTHING,"",
Isoodon auratus,NOTHING,"",
Lagorchestes asomatus,NOTHING,"",
Lagostrophus fasciatus,NOTHING,"",
Mesembriomys gouldii,NOTHING,"",
Myrmecobius fasciatus,NOTHING,"",
Notomys aquilo,NOTHING,"",
Petrogale concinna,NOTHING,"",
Petrogale lateralis,NOTHING,"",
Potorous gilbertii,NOTHING,"",
Pseudantechinus mimulus,NOTHING,"",
Pseudomys calabyi,NOTHING,"",
Pseudomys gouldii,NOTHING,"",
Pseudomys novaehollandiae,NOTHING,"",
Pseudomys occidentalis,NOTHING,"",
Sminthopsis butleri,NOTHING,"",
Wyulda squamicaudata,NOTHING,"",
Zyzomys maini,NOTHING,"",
Zyzomys palatalis,NOTHING,"",
Zyzomys pedunculatus,NOTHING,"",
Pseudomys oralis,(NSW Department of Environment and Climate Change 2005),2005,
Dasyurus hallucatus,(Oakwood 2000),2000,
Macrotis lagotis,P. McRae pers. comm.,.,
Macrotis lagotis,(Pavey 2006),2006,
Pseudomys australis,(Pavey et al. 2008b),2008,
Dasycercus cristicauda,(Pavey et al. 2012),2012,
Pseudomys australis,(Read & Cunningham 2010),2010,
Sminthopsis bindi,S. Legge pers.comm.,..,
Phascogale calura,(Short & Hide 2012),2012,
Notomys cervinus,(Smith & Quin 1996),1996,
Notomys fuscus,(Smith & Quin 1996),1996,
Pseudomys oralis,(Smith & Quin 1996),1996,
Phascogale tapoatafa,(Soderquist 1994),1994,
Phascogale calura,(Soderquist 1994),1994,
Notomys fuscus,(Threatened Species Scientific Committee 2008a),2008,
Pteropus melanotus,(Tidemann et al. 1994),1994,
Xeromys myoides,(Traill et al. 2011),2011,
Xeromys myoides,(Van Dyck & Gynther 2012),2012,
Bettongia penicillata,(Wayne et al. 2011),2011,
Phascogale pirata,(Woinarski et al. 2011a),2011,
Phascogale pirata,(Woinarski et al. 2011a),2011,
Phoebastria immutabilis,"LCY and EAV, unpubl. data","",
Sternula lorata,(Zavalaga et al. 2008b),2008,
Pterodroma madeira,(Zino 1992),1992,
Pterodroma madeira,(Zino 1991),1991,
Pterodroma madeira,(Zino 1992),1992,
Pterodroma madeira,(Zino et al. 1995),1995,
Loxioides bailleui,(van Riper III 1980a),1980,
Mimus graysoni,(Castellanos & Rodriguez-Estrella 1993),1993,
Mimus graysoni,(Castellanos & Rodriguez-Estrella 1993),1993,
Dierogekko poumensis,(Bauer et al. 2006a),2006,
Dierogekko nehoueensis,(Bauer et al. 2006b),2006,
Dierogekko inexpectatus,(Bauer et al. 2006b),2006,
Dierogekko nehoueensis,(Bauer et al. 2006b),2006,
Diomedea epomophora,(ACAP 2009b),2009,
Megadyptes antipodes,(Alterio et al. 1998),1998,
Megadyptes antipodes,(Alterio et al. 1998),1998,
Megadyptes antipodes,(Alterio et al. 1998),1998,
Megadyptes antipodes,(Alterio et al. 1998),1998,
Loxioides bailleui,(Amarasekare 1993),1993,
Puffinus opisthomelas,(Anthony 1925),1925,
Puffinus mauretanicus,(Arcos 2011),2011,
Urosaurus auriculatus,(Arnaud et al. 1994),1994,
Procellaria parkinsoni,(Atkinson & Atkinson 2000),2000,
Lagostrophus fasciatus,(Hardman 2006),2006,
Setonix brachyurus,(Bain et al. 2020),2020,
Setonix brachyurus,(Bain et al. 2020),2020,
Setonix brachyurus,(Bain et al. 2020),2020,
Setonix brachyurus,(Bain et al. 2015),2015,
Loxioides bailleui,(Banko et al. 2001),2001,
Branta sandvicensis,(Banko 1992),1992,
Branta sandvicensis,(Banko 1992),1992,
Loxioides bailleui,(Banko et al. 2014a),2014,
Loxioides bailleui,(Banko et al. 2014a),2014,
Loxioides bailleui,(Banko et al. 2014a),2014,
Chasiempis sandwichensis,(Banko et al. 2019),2019,
Anas chlorotis,(Barker & Williams 2002),2002,
Anas chlorotis,(Barker & Williams 2002),2002,
Anas chlorotis,(Barker & Williams 2002),2002,
Thinornis novaeseelandiae,(Bell & Bell 2000a),2000,
Procellaria aequinoctialis,(Berruti et al. 1995),1995,
Procellaria aequinoctialis,(Berruti et al. 1995),1995,
Pseudobulweria becki,(Bird et al. 2014),2014,
Thalassarche steadi,(BirdLife International 2018),2018,
Thalassarche steadi,(BirdLife International 2018),2018,
Thalassarche steadi,(BirdLife International 2018),2018,
Eurostopodus nigripennis,(BirdLife International 2023),2023,
Eurostopodus nigripennis,(BirdLife International 2023),2023,
Spheniscus mendiculus,(Boersma et al. 2013),2013,
Spheniscus mendiculus,(Boersma et al. 2013),2013,
Spheniscus mendiculus,(Boersma et al. 2013),2013,
Spheniscus mendiculus,(Boersma et al. 2013),2013,
Sylvilagus mansuetus,(Bonnaud et al. 2010a),2010,
Gallotia simonyi,(Bonnaud et al. 2010a),2010,
Diplothrix legata,(Bonnaud et al. 2010a),2010,
Pentalagus furnessi,(Bonnaud et al. 2010a),2010,
Chalinolobus tuberculatus,(Borkin et al. 2023),2023,
Puffinus yelkouan,(Bourgeois & Vidal 2008),2008,
Puffinus yelkouan,(Bourgeois & Vidal 2008),2008,
Diomedea exulans,(Bourgoin et al. 2024),2024,
Diomedea exulans,(Bourgoin et al. 2024),2024,
Diomedea exulans,(Bourgoin et al. 2024),2024,
Diomedea exulans,(Bourgoin et al. 2024),2024,
Traversia lyalli,(Buller & Keulemans 1905),1905,
Traversia lyalli,(Buller & Keulemans 1905),1905,
Pterodroma cervicalis,(Veitch et al. 2004),2004,
Procellaria cinerea,(Campolina et al. 2024),2024,
Antrostomus noctitherus,(Castro-Prieto et al. 2021),2021,
Antrostomus noctitherus,(Castro-Prieto et al. 2021),2021,
Amblyrhynchus cristatus,(Cayot et al. 1994),1994,
Amblyrhynchus cristatus,(Cayot et al. 1994),1994,
