scientificName,value,pub_year,Note
Burramys parvus,(Mansergh 1991),1991,
Burramys parvus,(Mansergh & Broome 1994),1994,
Burramys parvus,(Mansergh 1988),1988,
Burramys parvus,(McDougall & Broome 2007),2007,
Burramys parvus,(NSW National Parks and Wildlife Service 2002b),2002,
Burramys parvus,(Watson 2006),2006,
Parantechinus apicalis,(Baynes 1979),1979,
Dasycercus cristicauda,(Baynes 1990),1990,
Setonix brachyurus,(Burbidge & McKenzie 1989),1989,
Bettongia lesueur,(Christensen & Burrows 1995),1995,
Isoodon auratus,(Christensen & Burrows 1995),1995,
Leporillus conditor,(Copley 1994),1994,
Pseudomys australis,(Copley 1994),1994,
Phascogale tapoatafa,(Ford 1979),1979,
Myrmecobius fasciatus,(Friend 1990),1990,
Onychogalea fraenata,(Horsup & Evans 1993),1993,
Dasyurus maculatus,(Inns et al. 1979),1979,
Burramys parvus,NOTHING,"",
Chaeropus ecaudatus,NOTHING,"",
Conilurus albipes,NOTHING,"",
Dasyurus hallucatus,NOTHING,"",
Dasyurus viverrinus,NOTHING,"",
Lagostrophus fasciatus,NOTHING,"",
Macrotis lagotis,NOTHING,"",
Mesembriomys macrurus,NOTHING,"",
Notomys aquilo,NOTHING,"",
Notomys fuscus,NOTHING,"",
Ornithorhynchus anatinus,NOTHING,"",
Perameles bougainville,NOTHING,"",
Petrogale penicillata,NOTHING,"",
Potorous tridactylus,NOTHING,"",
Pseudocheirus occidentalis,NOTHING,"",
Pseudomys fieldi,NOTHING,"",
Pseudomys gouldii,NOTHING,"",
Pseudomys oralis,NOTHING,"",
Pseudomys shortridgei,NOTHING,"",
Sminthopsis butleri,NOTHING,"",
Sminthopsis douglasi,NOTHING,"",
Sminthopsis psammophila,NOTHING,"",
Xeromys myoides,NOTHING,"",
Zyzomys pedunculatus,NOTHING,"",
Petrogale lateralis,(Pearson 1992),1992,
Pseudomys novaehollandiae,(Pye 1991),1991,
Pseudomys novaehollandiae,(Pye 1991),1991,
Bettongia penicillata,(Robinson & Smyth 1976),1976,
Leporillus conditor,(Robinson 1989),1989,
Dasyurus geoffroii,(Serena et al. 1991),1991,
Phascogale tapoatafa,(Soderquist 1994),1994,
Pteropus melanotus,(Tidemann et al. 1994),1994,
Isoodon auratus,(Burbidge & Johnson 1983),1983,
Dasyurus geoffroii,(McKenzie 1984),1984,
Isoodon auratus,(McKenzie 1984),1984,
Dasyurus geoffroii,(Serena et al. 1991),1991,
Isoodon auratus,(Serena et al. 1991),1991,
Procellaria cinerea,(Dilley et al. 2017),2017,
Procellaria cinerea,(Dilley et al. 2018),2018,
Mimus graysoni,(Castellanos & Rodriguez-Estrella 1993),1993,
