key,scientificName,node_name,evidence_type,evidence_inclusion,Source_that_provides_primary_evidence,Evidence_category,Evidence_effect,Evidence_method,Hypothesis_supported,has_data,of_quality
Macrotis lagotis (Paltridge 2005),Macrotis lagotis,(Paltridge 2005),Population not in support,INCLUDE,0,Population,Abundance,Temporal,0,yes,no
Macrotis lagotis (Paltridge 2005),Macrotis lagotis,(Paltridge 2005),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Macrotis lagotis (Paltridge et al. 2020),Macrotis lagotis,(Paltridge et al. 2020),Population in support,INCLUDE,0,Population,Abundance,Spatial,1,no,no
Macrotis lagotis (Paltridge et al. 2020),Macrotis lagotis,(Paltridge et al. 2020),Predation not in support,INCLUDE,0,Predation,Predation,Predation,0,no,no
Pseudomys australis (Pavey et al. 2014),Pseudomys australis,(Pavey et al. 2014),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Pseudomys australis (Pavey et al. 2014),Pseudomys australis,(Pavey et al. 2014),Population not in support,INCLUDE,0,Population,Abundance,Temporal,0,yes,no
Dasyurus viverrinus (Peacock & Abbott 2014),Dasyurus viverrinus,(Peacock & Abbott 2014),Predation not in support,INCLUDE,0,Predation,Predation,Predation,0,no,no
Dasyurus viverrinus (Peacock & Abbott 2014),Dasyurus viverrinus,(Peacock & Abbott 2014),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Petrogale lateralis (Read et al. 2019a),Petrogale lateralis,(Read et al. 2019a),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Petrogale lateralis (Read et al. 2019a),Petrogale lateralis,(Read et al. 2019a),Predation not in support,INCLUDE,0,Predation,Predation,Preference,0,no,no
Pentalagus furnessi (Sugimura et al. 2000),Pentalagus furnessi,(Sugimura et al. 2000),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Pentalagus furnessi (Sugimura et al. 2000),Pentalagus furnessi,(Sugimura et al. 2000),Population in support,INCLUDE,0,Population,Abundance,Spatial,1,no,no
Parantechinus apicalis (Wallach & Lundgren 2025),Parantechinus apicalis,(Wallach & Lundgren 2025),Population not in support,INCLUDE,1,Population,Abundance,Timing,0,yes,no
Parantechinus apicalis (Wallach & Lundgren 2025),Parantechinus apicalis,(Wallach & Lundgren 2025),Population in support,INCLUDE,1,Population,Abundance,Timing,1,yes,no
Bettongia penicillata (Wayne et al. 2011),Bettongia penicillata,(Wayne et al. 2011),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Bettongia penicillata (Wayne et al. 2011),Bettongia penicillata,(Wayne et al. 2011),Population not in support,INCLUDE,0,Population,Abundance,Temporal,0,yes,no
Charadrius obscurus (Wills et al. 2003),Charadrius obscurus,(Wills et al. 2003),Predation in support,INCLUDE,0,Predation,Predation,Predation,1,no,no
Charadrius obscurus (Wills et al. 2003),Charadrius obscurus,(Wills et al. 2003),Predation not in support,INCLUDE,0,Predation,Predation,Predation,0,no,no
Phascogale pirata (Woinarski et al. 2011a),Phascogale pirata,(Woinarski et al. 2011a),Population in support,INCLUDE,0,Population,Abundance,Timing,1,no,no
Phascogale pirata (Woinarski et al. 2011a),Phascogale pirata,(Woinarski et al. 2011a),Population not in support,INCLUDE,0,Population,Abundance,Spatial,0,yes,no
