cited_by_id,from_key,article_id,to_key,edge_type,scientificName,encounter_method,source_year,article_year
(Wallach & Lundgren 2025)_external review without claim,(Wallach & Lundgren 2025) | Macrotis lagotis,(Geyle et al. 2024)_INCLUDE_NA_Population not in support_yes_no,(Geyle et al. 2024) | Macrotis lagotis,citation,Macrotis lagotis,core_sources,2022,2024
(Glen et al. 2009)_EXCLUDE_1_No claim_NA_NA,(Glen et al. 2009) | Dasyurus geoffroii,(Glen et al. 2010)_INCLUDE_NA_Predation in support_no_no,(Glen et al. 2010) | Dasyurus geoffroii,citation,Dasyurus geoffroii,snowball,2009,2010
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Notomys fuscus,(Gordon et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,(Gordon et al. 2015) | Notomys fuscus,citation,Notomys fuscus,core_sources,2014,2015
(IUCN 2025) core source_claim,(IUCN 2025) core source | Lanius ludovicianus,(Gustafson 2020)_EXCLUDE_0_Opinion claim_NA_NA,(Gustafson 2020) | Lanius ludovicianus,citation,Lanius ludovicianus,core_sources,2019,2020
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Acrocephalus aequinoctialis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Acrocephalus aequinoctialis,citation,Acrocephalus aequinoctialis,core_sources,2014,2018
(VanderWerf et al. 2016)_EXCLUDE_1_Opinion claim_NA_NA,(VanderWerf et al. 2016) | Acrocephalus aequinoctialis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Acrocephalus aequinoctialis,citation,Acrocephalus aequinoctialis,snowball,2016,2018
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Acrocephalus vaughani,(IUCN 2025) core source_claim,(IUCN 2025) core source | Acrocephalus vaughani,citation,Acrocephalus vaughani,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Aegotheles savesi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Aegotheles savesi,citation,Aegotheles savesi,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Algyroides marchi,(IUCN 2025) core source_claim,(IUCN 2025) core source | Algyroides marchi,citation,Algyroides marchi,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Amblyrhynchus cristatus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Amblyrhynchus cristatus,citation,Amblyrhynchus cristatus,core_sources,2014,2018
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Anarhynchus frontalis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Anarhynchus frontalis,citation,Anarhynchus frontalis,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Anthornis melanocephala,(IUCN 2025) core source_claim,(IUCN 2025) core source | Anthornis melanocephala,citation,Anthornis melanocephala,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Aphanapteryx bonasia,(IUCN 2025) core source_claim,(IUCN 2025) core source | Aphanapteryx bonasia,citation,Aphanapteryx bonasia,core_sources,2014,2023
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Aphelocoma coerulescens,(IUCN 2025) core source_claim,(IUCN 2025) core source | Aphelocoma coerulescens,citation,Aphelocoma coerulescens,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Aplonis santovestris,(IUCN 2025) core source_claim,(IUCN 2025) core source | Aplonis santovestris,citation,Aplonis santovestris,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Apteryx australis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Apteryx australis,citation,Apteryx australis,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Apteryx haastii,(IUCN 2025) core source_claim,(IUCN 2025) core source | Apteryx haastii,citation,Apteryx haastii,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Apteryx mantelli,(IUCN 2025) core source_claim,(IUCN 2025) core source | Apteryx mantelli,citation,Apteryx mantelli,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Ardenna creatopus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Ardenna creatopus,citation,Ardenna creatopus,core_sources,2014,2017
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Cabalus modestus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Cabalus modestus,citation,Cabalus modestus,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Caledoniscincus auratus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Caledoniscincus auratus,citation,Caledoniscincus auratus,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Caledoniscincus chazeaui,(IUCN 2025) core source_claim,(IUCN 2025) core source | Caledoniscincus chazeaui,citation,Caledoniscincus chazeaui,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Caledoniscincus orestes,(IUCN 2025) core source_claim,(IUCN 2025) core source | Caledoniscincus orestes,citation,Caledoniscincus orestes,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Caledoniscincus renevieri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Caledoniscincus renevieri,citation,Caledoniscincus renevieri,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Celatiscincus similis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Celatiscincus similis,citation,Celatiscincus similis,core_sources,2014,2016
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Chalinolobus tuberculatus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Chalinolobus tuberculatus,citation,Chalinolobus tuberculatus,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Chasiempis sclateri,(IUCN 2025) core source_claim,(IUCN 2025) core source | Chasiempis sclateri,citation,Chasiempis sclateri,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Coccyzus ferrugineus,(IUCN 2025) core source_claim,(IUCN 2025) core source | Coccyzus ferrugineus,citation,Coccyzus ferrugineus,core_sources,2014,2019
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Coenocorypha iredalei,(IUCN 2025) core source_claim,(IUCN 2025) core source | Coenocorypha iredalei,citation,Coenocorypha iredalei,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Coenocorypha pusilla,(IUCN 2025) core source_claim,(IUCN 2025) core source | Coenocorypha pusilla,citation,Coenocorypha pusilla,core_sources,2014,2021
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Coleura seychellensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Coleura seychellensis,citation,Coleura seychellensis,core_sources,2014,2015
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Columba versicolor,(IUCN 2025) core source_claim,(IUCN 2025) core source | Columba versicolor,citation,Columba versicolor,core_sources,2014,2022
(Doherty et al. 2016) core source_claim,(Doherty et al. 2016) core source | Corvus hawaiiensis,(IUCN 2025) core source_claim,(IUCN 2025) core source | Corvus hawaiiensis,citation,Corvus hawaiiensis,core_sources,2014,2015
